670641552880963585***,***Buen dato de donde ir a dejar las botellas platicas #Teleton2015  https://t.co/OUu57YjKqh
629312671301660673***,***RT @diegoprev: en @Rancagua Alameda bajo el agua... @ONEMIOHIGGINS @RancaguaConecta @IntendenciaLBO @NuevaMayoriaStg @bancadaPSchile
629298386622115845***,***Invitacion a clinica de tenis  https://t.co/hUbg1TASPE
629234230254542848***,***Telefonos de emergencia cortes de luz en su hogar llame a CGE 2206250 - 2206194 - 2206195
629233885331750912***,***Telefonos de emergencia si ve persona en situacion de calle Rancagua, Rengo, San Fernando llame al numero 800104777
628960587679166465***,***RT @diegoprev: En @Rancagua llueve, con viento fuerte incluido. Precaucion al Transitar.@RancaguaConecta @RadioRancagua @usach @thecliniccl…
628653116364296192***,***Invitaciones al estreno de "Le Prenom" https://t.co/1wkUFtlFS6
628606249756663809***,***Sonora Palacios en Rancagua el 4 de sept en Club Ansco ventas de entradas al whatsapp:+56998500637 produce Kmaleon   https://t.co/rsX4DOvFZH
628604999770226688***,***Para que este domingo apapache a su hijo con ternura y carino http://t.co/NmwYrWMUzm
628604826176331776***,***Lucha Libre Sabado 15 de Agosto 18:00 hrs https://t.co/u0vtxCN3dV
628604041019437056***,***Kmaleon que se duerme se lo lleva la corriente...Mas info de ventas de entradas:whatsapp: +56998500637Facebook:... http://t.co/82bAl98wln
628600230515200001***,***Para que este domingo apapache a su hijo con ternura y carino http://t.co/CumVyYvrAb
628345657263292416***,***RT @Belenhdezf: Algun dato de trabajo part time o de anfitriona o volantera? @RancaguaConecta @DeRancaguaCL @MallPatioRcga
628192527447924737***,***Martes 4 agosto inauguracion de una nueva exposicion temporal  https://t.co/JxURPUkOCL
628002418521964544***,***Clinica de Tenis para ninos https://t.co/HjYFy0pu9M
627933112517963776***,***@JaviiWhine bienvenida
627851187908419584***,***Restaurante Bistro Chileno una buena idea para el domingo  https://t.co/sXZixdG2LG
627619451865825280***,***Bar Tijuana https://t.co/wBhn9FxTfp
627608993058410496***,***@GdelrioCami @fredyvergarau  http://t.co/II9LPTnIt3 septiembre 05
627557079599988737***,***El arte callejero  https://t.co/aTrMBXlYvG
627309128050978816***,***Pub Viva Tijuana https://t.co/A8R09FwyQw
627112151778508800***,***Banqueteria-Colaciones-Almuerzos-Tortas-Pasteles-Cocteles https://t.co/akCV9907Wi
627108463487926273***,***Nueva Productora en nuestra ciudad mas informacion... http://t.co/FhIpokDKcw
627086342342725632***,***Un panorama para el dia del nino https://t.co/HZ047HneJY
627085668041277440***,***Ante cualquier falla en alumbrado publico no dude en llamar al 800-646-647  https://t.co/zlAtPp6HI9
626333096426762240***,***RT @bombarancagua: 10-1 Ruta Travesia llegando a puente Cachapoal(2 buses link en llamas)unid. BX-2 apoyo de H-1@elrancaguino @RancaguaCo…
626124741296934913***,***Venta de Galaxy S3 https://t.co/EjamiMoAj6
625999459890167812***,***@Carlosforchile saludos buen dia
625853549273055232***,***RT @GdelrioCami: @RancaguaConecta alguna corrida que se venga pronto???? @alcaldesoto
624934934327742464***,***Clases de salsa, kizomba y bachata junto a academia @dancarancagua todos los sabados
624904053496127488***,***Lucha libre el 15 de agosto https://t.co/HVwAjruLey
624760034510143488***,***Tenis y juegos para ninos desde los 4 anos https://t.co/u7l0Ac0j8O
624384551360548865***,***RT @urgenciaschile: 10-2 en Villa Arcoiris, trabaja unidad B-7 en pequena extension de pasto y basura se trabaja.@elrancaguino @RancaguaC…
624383823401238528***,***Un buen dato evento a beneficio  https://t.co/15S1YnlDsX
623971615018233856***,***RT @bombarancagua: 10-4 av. Victoria, Bandera se trata de colision de 3 vehiculos y posterior con arbol, 3 personas lesionadas@elrancaguin…
623913088274812928***,***Muchas gracias Juan Madrid https://t.co/5tVntiNkFA
623880691713970177***,***Salud Alternativa https://t.co/5nLGfDEPJp
623869114709352448***,***@paulaedo Ferias libre dia miercoles d 8 a 14H Poblacion Manzanal calle Hector Zamorano,poblacion San Francisco calle Francia y Costa dl Sol
623868691147587584***,***Ferias libre dia miercoles de 8 a 14 Hrs Poblacion Manzanal calle Hector Zamorano,poblacion San Francisco calle Francia y Costa del Sol
623865466340143105***,***RT @paulaedo: @RancaguaConecta hoy hay feria en que sector?
623616850467921921***,***Se busca! https://t.co/JF6JszyGqq
623458556864528384***,***Cumpleanos para los ninos  https://t.co/pWdQh4HpvU
623177694168121344***,***Hospital Regional  Horarios de visitas  UCIC 12 a 13.30 y 17.30 a 19 UCIM 12 a 13.30 y 7.30 a 19 @HospitalRgua
623177644448874496***,***Hospital Regional  Horarios de visitas Urologia 11.30 a 14.30 y 16.30 a 19.30 UCI 12 A 13.30  y 17.30 a 19 @HospitalRgua
623177586252845056***,***Hospital Regional  Horarios de visitas Medicina 11.30 a 14.30 y de 16.30 a 19.30 Cirugia 11.30 a 14.30 y de 16.30 a 19.30 @HospitalRgua
623143800098177024***,***Un buen dato de Accesorios https://t.co/MfXWzvV4n4
622948273016471552***,***RT @bombarancagua: 10-4 Av. Einstein con Av. Miguel Ramirez, (colision de 3 vehiculos) concurre R-4 @elrancaguino @RancaguaConecta @NOTI…
622948046532386816***,***Tour a Sewell https://t.co/H642JR9jqA
622512789282783232***,***Tenis en el centro espanol https://t.co/yfEYKLASr7
622045578877345792***,***Muchas gracias Rocio y Rodrigo saludos para ustedes  https://t.co/o8xciAQVvn
621422396365504513***,***Mantencion Piscinas Blue Point Es una empresa que cuenta con profesionales certificados, eficientes y... http://t.co/o7fQqUhJ7N
621379005585956864***,***RT @bombarancagua: 10-4 Illanes con Los Alpes,(choque de vehiculo con poste de alumbrado publico) concurre R-4 @elrancaguino  @RancaguaCone…
621022754322653185***,***Servicios integrales de Arquitectura• Desarrollo, gestion y construccion de proyecto de arquitectura.•... http://t.co/srxcTROqlu
620940866853715968***,***Clases de Ingles  https://t.co/p7V72pr3rl
620914194595057664***,***Tienda Pamelie https://t.co/aHLDJZb9iy
620913743938088961***,***Nuevo Circulo de Maternidad https://t.co/vJxhhE8Url
620641359582613504***,***Ofrecen maquinas de tatuajes  https://t.co/w2cWlakKOc
620399113109131264***,***Precaucion en By pasas Rancagua, conducir con precaucion en estos dias de lluvia  https://t.co/J9SHXnLvOQ
620360463499534338***,***Se busca perrito  https://t.co/QqtximhfCM
620182234587340800***,***Lucha libre sabado 18  https://t.co/9LuNg3vtwl
620022281197236228***,***Cuidado en la ruta H10 y maneje con precaucion estos dias de lluvia  https://t.co/adn8HC2bg5
619992035827806208***,***Buscan socios  https://t.co/sXVrx42T9z
619869932302544904***,***Un buen dato de Boutique PameliaGirl https://t.co/K2iusB5c2E
619213674553737218***,***@jlalmonacid saludos q tengas una buena tarde
619189226215743489***,***Taller de salsa este sabado 18  https://t.co/SecmKg0m3y
619183480921026560***,***RT @RojasCarlosraul: Pergunta hay alguna barberia en @DeRancaguaCL. En donde y cuanto sale @alcaldesoto @fosorioc7 @RadioRancagua @Rancagua…
619099203248197636***,***Un lugar para celebrar cumpleanos  https://t.co/f0JtRhy16B
618836439250399232***,***Corte de agua potable este miercoles 8 y jueves 9 @essbio http://t.co/CpwUQ1xQcn
618162997127708672***,***Un buen dato de nuestros vecinos en los lirios de @BazarLosLirios  https://t.co/aVgbt4jfga
618099492563361792***,***Recuerden sabado 18 de julio lucha libre  https://t.co/Yq8TlxPO7R
618097976687370241***,***Sobre los cajeros adulterados para clonar tarjetas  https://t.co/wJ4VLZ0eFK
617833429518950400***,***@PDI_CHILE es verdad esta informacion? https://t.co/xhG9TxzHSM
617771282516590592***,***Cicletada por la celebracion aniversario de la 7 companias de bomberos  https://t.co/fKC2eGdEDK
616985585308291073***,***Lucha libre en Rancagua  https://t.co/3isciS5kxD
616770250986651652***,***Para endulzar el dias  https://t.co/5UwDM3fJak
616746014674952193***,***Ven a conocernos... la mejor comida chilena gourmet en Rancagua a partir del Lunes 6 de Julio los esperamos a... http://t.co/wKMrCpCD2z
616650132323479552***,***Desde el lunes nuevo restaurante Bistro Chileno https://t.co/rPZWVIQE1p
616275079652077569***,***Para celebrar cumpleanos de los ninos  https://t.co/jOI5bE0B07
615836999224827905***,***Cumple peques  https://t.co/bmg0csKtCQ
614989557973524480***,***Cecosf N° 4 Calle los Arcangeles N° 1249, Don Mateo II,  2332891 cecosf4@saludcormun.cl
614989517175566336***,***Cecosf N° 2 Calle Santa Olga , Poblacion Dintrans.  2352690 cecosf2@saludcormun.cl
614989443104133120***,***Cecosf N° 1  Pasaje Entre Lagos #580, Villa San Rafael  2352600 cecosf1@saludcormun.cl
614988931776409601***,***Centro Comunitario de Salud FamiliarCecosf N° 1 Pasaje Entre Lagos #580, Villa San Rafael.  Fono: 2352600Correo:... http://t.co/tEOW8scnFv
614975700655841280***,***Cesfam 6 Dr. Ignacio Caroca Direccion: Av. Constanza 1790 Pobl. Vicuna Mackenna Fono:072-2352700
614975662928080897***,***Cesfam 5 Juan Chiorrinni Direccion: Juan Martinez de Rozas Esq. Avda. La Compania Fono: 072-2352300
614975599124312064***,***Cesfam 4 Maria Latiffe Direccion: Republica de Chile Esq. Recreo Fono: 072-2332800
614481500436873217***,***Recuerden revisar si puede usar lena como medio de calefaccion en esta pagina: http://t.co/aakCiAjKR2
612298283428483072***,***Aca puedes encontrar carbon! https://t.co/Tz8Li53GFy
612291797998563328***,***Nuevos estacionamientos para bicicletas en German Riesco  https://t.co/JtazySBXfp
611604314130358272***,***Manana partido en El Teniente 19:00hrs-18:00 hrs-Mexico-Ecuador https://t.co/z2squXdeF1
611205429792780289***,***RT @rancaguaamerica: Sampaoli ratifica la permanencia de Vidal en la #CA2015   @RadioRancagua @RancaguaConecta @alcaldesoto http://t.co/5XV…
610912537576542208***,***@salcedo8: @RancaguaConecta video clip " Nadie Como Yo" https://t.co/64v5CaE0Ss
610846233054347264***,***@ChileCompra_Lib #Rancagua 16 y 17-06 estaremos en Santiago junto a todo el equipo de ChileCompra  https://t.co/jq5z7Hv2mQ
610629633466343425***,***Costuras en Villa hermosa  https://t.co/MBHRs1ZKgm
610496432412434434***,***En el sitio http://t.co/on5aOtBBF4 estan los Cursos Gratuitos para Funcionarios Compradores  https://t.co/Xk9BWfgQfL
610472253512417281***,***@rancaguaamerica @elrancaguino @alcaldesoto esperemos q se pueda mantener en los partidos del campeonato
610451573391667200***,***Gracias @rocioyrodrigo igual para ti una buena semana y para todos  https://t.co/uvegszDvaj
610451036483010560***,***RT @LaRotondaDulces: Tenemos el mejor carbon para alentar a #CHI hoy con asado $1.990 2.5 Kg $16.000 el saco 23 Kg @dateadorancagua @Rancag…
610450878135422976***,***@rocioyrodrigo muchas gracias igual para ti
610093093208104962***,***Hoy Colombia vs Venezuela 16 horas El Teniente #Rancagua #CopaAmerica2015
609833686780014594***,***RT @fabianjerez6: RT Ya estan abiertas las inscripciones para la #corrida san #lorenzo @RancaguaConecta @DiarioelMachali @elrancaguino http…
609503379686039552***,***RT @luisvargasatton: @RancaguaConecta prox jueves 18/06 @carolinagoic @ifuentes_aysen @SergioEspejo en Rancagua . Invitacion Abierta! http:…
609467490029203456***,***@ortiz76vidal muchas crecias esperamos servir
609461438726438912***,***@ciberviviente dislexia gracias !!!
609366042784190464***,***RT @topplaytenis: Hoy clases de tenis en Centro Espanol Rgua a las 16:00. Vengan por una clases de demostracion, ni~os desde los 4 a~os htt…
609364352249036800***,***RT @EduContreras: Alguien sabe donde venden tofu en #Rancagua? … cc @RancaguaConecta @DeRancaguaCL
609044608903999489***,***@ConyKreuzig @munirancagua cualquier duda a travez de su Facebook http://t.co/6swtyX27wq
609038330823610369***,***@ConyKreuzig @munirancagua en el centro Kess a las 20:30 martes y jueves profesora Barba
608793555658747904***,***RT @fabianjerez6: #MenosPifiasMasGoles #FIFA  @munirancagua @alcaldesoto @elrancaguino @RancaguaConecta http://t.co/U0hUS5h6Jl
608669010759139328***,***@ConyKreuzig @Bomba_LoMira: Aca puede revisar la calidad de aire de la region http://t.co/k0LUYObtn1 http://t.co/YDJpm3biw3
608029433321160705***,***RT @topplaytenis: Creada la Asociacion Nacional de Entrenadorees de Tenis de Chile de la VI Region, ANETECH. Informacion de torneos!! http:…
608002312330706944***,***RT @Cuerilia: ATENCION Rancagua @CBRGUA1882 @RadioRancagua @Club_Rancagua @InacapRancagua @RancaguaConecta @bartorell @SOS_Animales http://…
607942566630277120***,***RT @fabianjerez6: se viene la tradicional corrida san lorenzo!!!  9 de agosto #5k #10k #racagua @elrancaguino @RancaguaConecta  https://t.c…
607207391587913728***,***RT @Club_Rancagua: Buenos dias los invitamos a disfrutar de nuestro exquisito menu.@SolucionadoCL @RancaguaConecta @FullRetuit http://t.co/…
606823822172553216***,***RT @LavoPorTi: Les recuerdo que todos nuestros servicios de lavanderia son a domicilio! Retiro y entrega, #rancagua #machali
606226266719551488***,***Plan de desvios de transito por partido Chile vs El Salvador viernes 5 Junio, cortes de transito desde 17:00 Hrs http://t.co/iQNuJeUhqG
606225641545957376***,***Atencion: Plan de desvios de transito partido Chile vs El Salvador viernes 5  https://t.co/0mXVV31V6N
606115258567041025***,***Cobrecol Local 012 encuentra calza con efecto pantis o negras forradas en chiporro con tobilleras http://t.co/oRLeIKB8Y8
606114072736710657***,***RT @PamelieGirl: @RancaguaConecta OFERTA CALZA EFECTO PANTIS O  NEGRAS FORRADA EN CHIPORRO CON TOBILLERAS A 3.990 COBRECOL LOCAL 012 http:/…
605786219667062784***,***RT @madridrodrigo: Atencion quienes compren en #JumboRancagua revsen boletas en promociones 2x1 q no se respetan @RancaguaConecta @Rancagua…
605558350810595329***,***Recoleccion de @chile_igualdad  https://t.co/BtW3kf2o6w
605505271616684033***,***RT @mirasanjuan: @RancaguaConecta Documental La Once se estrena en Rancagua el jueves 4 d junio.Centro Cultural Gaudi,19.00 h, $1000 https:…
605406849001746432***,***@nataliabasaure @RancaguaNews @alcaldesoto estimada mi informacion equivocada @munirancagua con informacion acertada
605406397786935296***,***Entradas para el partido 5 de junio en el estadio el teniente  https://t.co/a7NzpI3CNn
604712802809487360***,***Manana dia del patrimonio cultural! https://t.co/eUc2QxVD7C
604688792684011520***,***RT @topplaytenis: laberinto tenistico!! http://t.co/Mg5zpiilVd
604678056075128832***,***Dibujantes independientes .. servicio de planos de todo tipo .. regularizaciones casa u ampliaciones .. ley del... http://t.co/1RSY3Oeq9t
604067637115502592***,***Clases de Bateria, Para Ninos, Jovenes y Adultos, para todos los niveles. El Alumno solo tiene que traer sus... http://t.co/UTV7XNHq4J
603909324948267008***,***RT @s_loretomontoya: #Marchaestudiantil Hoy Alameda con Estado 12:00 @elrancaguino  @DiarioRancagua @RadioRancagua @RancaguaConecta @SEXTAV…
603655768630566912***,***RT @rancaguaamerica: Amigos de @RancaguaConecta Gracias por el Ad.. vieron el video de nuestra sede? http://t.co/lHz1WhDVEh
603201350319546368***,***Aca puede revisar la calidad de aire de la region http://t.co/k0LUYObtn1 http://t.co/YDJpm3biw3
601828256048898049***,***RT @ConyKreuzig: @RancaguaConecta  @munirancagua estimados, hay cursos gratuitos para la gente ya sea de zumba/yoga/reiki/box ? Saludos #ra…
601551511072743424***,***RT @clinica_empresa: #ClinicaEmpresarial Rancagua Donde Nacen y se Recuperan Las Empresas Diagnostico Pronostico Tratamiento y Seguimiento …
601339962563366913***,***@mahenaria_sol gracias a ti nos leemos
601183146168721408***,***RT @topplaytenis: @RancaguaConecta todos los ninos, desde los 4 anos, de Rancagua y Machali, invitados a una clase de demostracion.. http:/…
601167883004211202***,***RT @patyguerrero51: @RancaguaConecta vendo Samsung Galaxy Core2 usado en excelente estado con todos sus accesorios. $55.000 @enedatos http:…
601129923835731968***,***Fletes&amp;Mudanzas BOXLINE Fono 64674817WhatsApp +56968167447
601040686884982784***,***RT @jorgepalmaf: #CopaAmerica2015 #Rancagua http://t.co/QiHWeguvzD
600827818512113664***,***RT @arielml29: @RancaguaConecta consultas servicios radio taxi rancagua aeropuerto 228568000 http://t.co/D1S76h7oVD
600825718130487296***,***@pattysando gracias esperando de ser utilidad
600736801964367872***,***RT @rocioyrodrigo: @RancaguaConecta Saludos de rocioyrodrigo ...muy buenas tardes. http://t.co/YtrHku67A2
600348954186907648***,***RT @Club_Rancagua: Los invitamos  a disfrutar  de  nuestro exquisito  menu  @RancaguaConecta @SolucionadoCL @FullRetuit http://t.co/boIeFXx…
600325206448680960***,***RT @conitazp: @RancaguaConecta voten por Chile para esta copa America que estoy representando a Chile en rancagua http://t.co/186ZZkGv1w di…
599996675927711745***,***@LEGIONARIO_CL gracias!!
599996618839031808***,***RT @LEGIONARIO_CL: @RancaguaConecta me gusto su cuenta!! Saludos y felicitaciones
599987786553368577***,***#CopaAmerica2015 Mexico vs Ecuador Viernes 19/06, 18 horas El TenienteColombia vs Venezuela Domingo 14/06, 16 horas El Teniente #Rancagua
599960256949649408***,***RT @DelSurCarnes: Corte de hoy... Punta Picana, corte delgado con buena cobertura de grasa por uno de sus lados, blanda y muy sabrosa http:…
599950319523667969***,***RT @CeaSustentable: @RancaguaConecta gracias por seguirnos, te invitamos a Nuestro seminario de Tenencia responsable de mascotas el 26/05 h…
598853679282806784***,***RT @balletfolkmrgua: http://t.co/efr9JoPytg
598499029798948864***,***Pizza Rancagua LLama a +56 9 57162229 par tus pedidos http://t.co/UgPj7UvdEf http://t.co/lLoOl44ZeE
597377107648499712***,***#FelizDiadelaMadre http://t.co/mAh8cWsSJa
596717819376570368***,***@TurismoRegionCL gracias igual tu cualquier dato q tengas de la ciudad le damos RT
596657812689805313***,***RT @munirancagua: Este sabado se realizara un nuevo operativo de retiro de enseres en el sector norte de #Rancagua Cc: @alcaldesoto RT http…
596648178063138816***,***RT @AlbornNancy: @RancaguaConecta gracias es choque illanes con republica contra poste
596523507791585280***,***@AlbornNancy no nada estimada
596522868629962752***,***RT @AlbornNancy: @RancaguaConecta corte de luz sector norte rancagua
596352077200162817***,***Radio Emilia Rancagua  Radio On Line mayor informacion en http://t.co/MZrdkCE2PC
596348443410432000***,***Visita la Pagina de "RancaguaConectada" y no se te olvide darle me gusta!! https://t.co/3gtkV6TzVB
596345472505249792***,***Visita la Pagina de "RancaguaConectada" y no se te olvide darle me gusta!!https://t.co/K9l37YxjgR
595703835701698560***,***Entretencion infantiles. Juegos infables,amplificacion, maquinas de algodon, cabritas y otros. Mas informacion en http://t.co/nvG2H8Kg8D
595418868765597696***,***RT @tomasgreigfc: @RancaguaConecta Miercoles 6 de Mayo partido amistoso @tomasgreigfc v/s @CD_GVelasquez, a jugarse en San Vicente,18:30 es…
595253273306734592***,***RT @Club_Rancagua: Buenas tardes ya comenzamos con nuestro almuerzo. @RancaguaConecta @SrDatos @SrDatos @RancaguaNews @YoAmoRancagua http:/…
595193696297029632***,***Buena semana para todos esperemos tener buenos datos para compartir, saludos
593749135884443650***,***RT @cla_novoa: @RancaguaConecta Este jueves 30 se realizara la rifa del cordero a beneficio de Claudia Novoa. En el Siteco.Hora a Confirmar.
593398940852211712***,***RT @Club_Rancagua: Hola, buenos dias, hoy los invitamos a degustar nuestro #almuerzo en Ocarrol 334 # Rancagua, los esperamos. http://t.co/…
593357019396100096***,***RT @tomasgreigfc: @RancaguaConecta Manana partido amistoso #TomasGreigFC v/s #OhigginsFC #Sub17 en el #MonasterioCeleste. A las 15:00 hrs e…
592793363595862017***,***Comida al Paso Sandwicheria Diente Largo Av Baquedano 661 Local A
592791521121939456***,***Botilleria Calvo en Ignacio Carrera Pinto 1196
592790745037307905***,***Teatro Regional Rancagua  Avda. Capitan Antonio Millan #342 Telefono boleteria:2237177 Correo:... http://t.co/LWExVIr8Rd
592789501010907136***,***Cesfam 3 Abel Zapata Bombero Villalobos Esq. Miguel RamirezFono: 2333800
592789230595809280***,***Cesfam 2 Eduardo de Geyter Almarza Nº 1064Fono: 2352600
592788941205577729***,***Cesfam 1 Enrique Dintrans  Av Baquedano Nº 726 Fono: 2352400
592787099616686082***,***Tambien en cuentranos en Facebook!!! https://t.co/K9l37YxjgR
592764456893083650***,***Hospital Clinico Fusat requiere los siguientes cargos: - Matrona - Matrona Lactancia 22 horas (Centro Medico) -... http://t.co/MYzPeDXemp
592762315340120071***,***Peluqueria Santiago un clasico de nuestra ciudad Brasil 1040
592760689271382016***,***Renta Card O'Carrol ubicada en el numero 1109, contacto 2583190 2583195
592754637796724736***,***RT @nataoc: @RancaguaConecta q bueno xq aki en rgua se hacen muchas cosas q 1 sabe muy tard
592754578388590592***,***@nataoc puedes  dar me gusta o unirte sea el caso en las plataformas de Facebook
592754414030577667***,***@nataoc se invita a todos a informar a demas del grupo y pagina de Facebook
592727495184617472***,***Clases de Poledance!!! lunes y miercoles en villa sagasca calle rio loco 130 mayor informacaion a @RVanessacarter
591894029597601792***,***@cla_novoa gracias!!
591422112084144128***,***Muchas gracias  https://t.co/W0ELClNOjK
591421985307103232***,***RT @sirrazabalv72: @RancaguaConecta // 31 de mayo el duo Rio Roma se presenta en @TeatroRancagua @La_Clave @RioRomamx @ContactoRioRoma http…
591316370161328128***,***Hospital Clinico Fusat requiere los siguientes cargos:- Matrona 44 horas- Matrona Lactancia 22 horas (Centro... http://t.co/982TRhJdei
591074166624878593***,***RT @cla_novoa: @RancaguaConecta Claudia costuras le espera en Santa Bernardita 1341,Villa Hermosa.
590493918216716288***,***RT @Club_Rancagua: Hola, buenos dias, hoy los invitamos a degustar nuestro #almuerzo en Ocarrol 334 # Rancagua, los esperamos.@RancaguaCone…
590486242090954753***,***Saludos!!  https://t.co/cvo7h4AnPC
590296605946998784***,***@jeremy1985ok saludos!!!
590203249921228800***,***Un clasico salon de Pool Espana Santa Maria Telefono:85485702
590202252620668928***,***Colegio Don Bosco Rancagua - Ibieta 250  Telefono 2 224971 http://t.co/FGor4jhr3S
589393684124295168***,***RT @Club_Rancagua: Buenos dias, tenemos convenios con instituciones y empresas @ndatos @datosyremates @RancaguaConecta @DatoRetuit @Sernatu…
589186894078074881***,***Fusion VIP un Delevery que lo encontraras en Republica de Chile con Centenario  079 local 2 y 3. Telefono 96963426 http://t.co/rC11Srp3HQ
589017556536590336***,***Une al "Grupo RancaguaConectada" y publica tus datos y ayuda a todos los rancaguinos a estar conectados con todos... http://t.co/7MN43jZR4t
589014365187244033***,***Un buen almuerzo en  Club Social Rancagua,  en la calle O'carrol 334,  telefono de contacto 54022572 @Club_Rancagua
588813230501421056***,***Entra a Facebook y dale me gusta https://t.co/K9l37YxjgR
588795731701538816***,***Un rico Shushi en  AZUMA en sus dos locales O'carrol 533 telefono 2231210 y en Bomberos Villalobos 1092, local 4 telefono 2210691
588659584006512640***,***Gracias @alcaldesoto por seguirnos espero q le guste la iniciativa y no deje de poner me gusta en pagina de Facebook
588314406854901760***,***La Casona del Haiti para compartir un rico cafe en Bueras 341 y el telefono 2585204
588152866969411584***,***Taller de cocina de Empanadas Grecia una buena iniciativa http://t.co/Km6cswO4XN
588128107137110016***,***Tienda Oficial del capo de Provincia Cuevas 226, Telefono de contacto 2227824 web http://t.co/pVlPdXI24p
588125984894951426***,***Una Clasica Fuente de Soda "Tio Manolo" en Alcazar 310 Fono: 2230656 Si lo que buscas es un sandwich sabroso
588041330577793024***,***Matronas RancaguaHospital Clinico Fusat requiere Matronas para jornada completa.Dentro de sus funciones esta:-... http://t.co/FFL6hB9ENG
587976709292429312***,***Libreria "El Sol"  en San Martin Nº 496 esquina O'Carrol, telefono de contacto  2242076 y web http://t.co/YC533DPZdK
587975671013584896***,***Municipalidad de Rancagua en nuestra  Plaza de Los Heroes 445 con numero contacto Telefono  2443500 y web http://t.co/nyY8eP4vtp
587965601257164801***,***Si quiere reciclar se puede acercar al  Punto Limpio "Sodimac Constructor" en  calle Koke 011
586585672221229057***,***Lavanderia "Lavoporti" mas informacion es su fan page Lavoporti
586583410686066689***,***Una Clasica Picada sandwichera Tia Julia en la calle Rubio 155
586578707298574336***,***Fiesta Huasa de Rancagua en la Plaza de de los Heroes 10 - 11 - 12 Abril http://t.co/lNg4ydESY7
586555128989229056***,***conectados con todos los datos d la ciudad como: restaurantes,picadas,pub, cultura,talleres o cualquier dato que deberia saber un Rancaguino
