647042826178535424***,***No hay periodista mas rica y tierna y aaaah todo me encanta @mxperez te amo &lt;3
408741264398360576***,***RT @Fernandukiss: hoy es uno de esos dia en k me tiraria a un pozo... @Pulento_Dios ahora es cuando!
408741249529552896***,***@Fernandukiss ahora es cuando? Dime en q pozo por q feliz te espero abajo....animo nina un beso q tengas un buen dia
408735168690520064***,***#Meirealinfierno × esto pero me rei @Pulento_Diablo @volaochileno @PitufiNoni @La_Miss_R @humanistajc @PorQueTanLoco http://t.co/f2sVzvr9Sp
407697413378289664***,***@PitufiNoni @Pulento_Diablo mientrasno vendas tu cuerpo, amenos q sea a mi a quien lo vendas, tratare de en la proxima vida hacertmillonaria
407268669874401280***,***Maestro: cuantos identificados manana  @Antipoetica @humanistajc @La_Miss_R @PitufiNoni @volaochileno @IRICIO http://t.co/nTmvvw6F3n
407230975483977728***,***GrandsPalabras @Pulento_Diablo @La_Miss_R @PitufiNoni @Antipoetica  @PorQueTanLoco @humanistajc @volaochileno @IRICIO http://t.co/Ll8d7TcGcU
405915035400032256***,***@paolafernaanda ;).de ahy somos
405396843959296000***,***@Fr_parisi #LaFranjaDeParisi espero q tengas una buena semana amigo
405394762200395776***,***Pero nadieescucha @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @IRICIO @PorQueTanLoco @Antipoetica http://t.co/OdfWBhUYvN
405143530189762560***,***Volvio Twitter como la gente :) @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @volaochileno @IRICIO @PorQueTanLoco
404644519775191040***,***@Porter_Beer @agriculturafm mmmm si
404644409045561344***,***Q esta pasando ctm #MicreroCTM #BrazilenoCTM jajajaja la wea http://t.co/CS6jMg1Bmc @Pulento_Diablo @La_Miss_R @humanistajc @volaochileno
404329020696715265***,***@_hombrehojalata las dos lo chupamos rico http://t.co/UhLgDEcAf0 jajajaja fuatona qlia inmoral jajajajaj
404276138479861760***,***@DenisseAriela #MeSiguesTeSigoEntreChilenosSinPlata Esperando fin de mes para ser millonarios x un dia xD asi con l9s p9bres @Pulento_Diablo
404011594536853504***,***@PorQueTanLoco @IRICIO @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @volaochileno q se parece al dep juego espero sea good
404011469118767104***,***RT @PorQueTanLoco: Q opinan? @IRICIO @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @volaochileno @Pulento_Dios http://t.co…
404011414504755200***,***@Pulento_Diablo @volaochileno @Antipoetica @La_Miss_R @humanistajc @PitufiNoni @Cokiiloco @psicocity @PorQueTanLoco lafotohoy complio 50anos
404011148443279360***,***El nuevo apk de Twitter es una mierda @IRICIO @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @volaochileno @TOCSHOWUCV
403901967665082369***,***La  nueva aplicacion de Twitter es uja mierdaaaaaaaaaaaa reqliaaaaaaaaaaaaa
403707847994642432***,***Estay estupenda no se que te hiciste jaja #ManosAlFuego http://t.co/9eEFbAkFxH jajaja este weon esta desesperado jajajajajajajajaj
403705797382643713***,***Como estan las bastardas weon #ManosAlFuego @Pulento_Diablo @humanistajc @PitufiNoni @volaochileno @Cokiiloco @Pulento_Diablo @La_Miss_R
403660545791754241***,***Mis hijos dando RT @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco @volaochileno http://t.co/erLIW19mde
403166371325804545***,***@La_Miss_R @Cokiiloco @PitufiNoni @Pulento_Diablo @humanistajc @TOCSHOWUCV @psicocity buenndia si yo quiero
403166239905705985***,***RT @PitufiNoni: @Cokiiloco @La_Miss_R @Pulento_Dios @Pulento_Diablo @humanistajc @TOCSHOWUCV @psicocity buen dia a todos :)
402981597147721728***,***@DenisseAriela Oky
402966509451878400***,***@PitufiNoni @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Cokiiloco siempre ta me puse malo my love
402965528878145536***,***Hoyganamosyelmismopartidoenel mundialnosvuelan la raja @Pulento_Diablo @humanistajc @La_Miss_R @PitufiNoni @Cokiiloco http://t.co/6yOjWz6BDq
402964988421091328***,***@DenisseAriela me enamoro sorry pero te instagramie sigamonos hija ♥
402964232146137088***,***Q saen de los mercenarios en chile @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica @Cokiiloco http://t.co/bmxfiRXQdp
402963817916661760***,***Sigan el ejemplo mierda @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Cokiiloco @PitufiNoni http://t.co/xlbHfhfts9
402963664283512833***,***Para mi loes todos los dias lol @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Cokiiloco @PitufiNoni http://t.co/KHbKc62JUa
402962189964689408***,***Cuantoshijosidentificados?  @Pulento_Diablo @humanistajc @La_Miss_R @Antipoetica @Cokiiloco @PitufiNoni @volaochileno http://t.co/GPgCun3wec
402961439071019009***,***@La_Miss_R @PitufiNoni ustedes son las mas bellas q hize estas 2 las hizo @Pulento_Diablo http://t.co/JyBcmVGhq7
402961135038517249***,***@volaochileno @La_Miss_R @Antipoetica @Pulento_Diablo @humanistajc @PitufiNoni @Cokiiloco +d600pesos q malo jajajaj http://t.co/J6hcV7iRU6
402919581599428608***,***@PORDIOSER0 obvio q yes amigo
402919565308751872***,***RT @PORDIOSER0: Si te llega el Wi-Fi de la Iglesia, es porque el @Pulento_Dios te esta dando una senal ? #TipicasDudasExistenciales
402919496978931712***,***@MiaManson28 yodo lo.malo viene junto despues llegara lo bueno
402919334646779905***,***@Cokiiloco @Pulento_Diablo jajajajja ok nosotros pensamos igual
402302457973186561***,***Gracias a todos los que fueron parte de esta increible campana de @Fr_parisi Felicitaciones a todos los que se levantaron para cambiar Chile
402168378183270400***,***@PitufiNoni Awwww
402163290555428865***,***@Guatonsalinas #guatonsalinas #chile  #chanchosagrado #elecciones2014 #cerbel #buenosdiasbuenastardes #rodrigosalinas http://t.co/hciH2ZJDSM
402156272721481728***,***#CERBEL libertad a @Guatonsalinas !  #Elecciones2013 #EleccionesCHV no mas presos politicos por vender comida!
402156158653198336***,***@PitufiNoni q tenfas un lindo dia un besiwis
402155882206601217***,***Liberenlo weon si es humor humor metan en cana a lo candidatos  #TodosSomosGuatonSalinas Un homenaje al Chancho Sagrado de @Guatonsalinas
401907790198755329***,***@Pulento_Diablo @humanistajc @La_Miss_R @Antipoetica @Cokiiloco @PitufiNoni @volaochileno jajajaja wena
401619569615204352***,***RT @CARLABORLONE: Terminando la semana como  el @Pulento_Dios manda!! http://t.co/V0ni34Y6Yr
401198386826579969***,***@Pulento_Diablo @Cokiiloco jajaja rica la weona
400832319587508224***,***#YoTambienMeMetiConLaRocio @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/fMVN24Uxak
400832056592039936***,***#YoTambienMeMetiConLaRocio  jajajaja maraca qlia hija no te bendigo http://t.co/eax6U95rr1
400831460761808896***,***Bn maraca me saliste hija rocio #ManosAlFuego #NosVamosAlMundial http://t.co/EOjjQVR9Ra
400813449493483520***,***Grande hija http://t.co/pYJ05NNoWN
400472910843752448***,***RT @Cokiiloco: La Sandy boquita es harto alejada de la mano del @Pulento_Dios jajajjajaja
400053130974330880***,***RT @Pulento_Diablo: @Pulento_Dios http://t.co/vQYO3f8WmP
398866467921592320***,***@MiaManson28 @_SantaSara obvio carrete mas rato
398607443371900929***,***Pecadores reportandoce
398248309338300417***,***RT @Dressor_den: @mvicunax gloria al @Pulento_Dios
398248261594537984***,***@Pulento_Diablo @Fr_parisi jajajaja wena va a mi portada de face
398248090232053760***,***Grande francooo "@Pulento_Diablo: @Fr_parisi @Pulento_Dios http://t.co/VK5n4IYG4h"
397935721073225728***,***Jajajaja y ese flanders siempre me esta resando por ustedes @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV http://t.co/IPTPyJ8OBW
397514960021893120***,***@Rayozlava @CocaColaZero_CL yo tabn
397133662187048960***,***RT @Taeh_ps: @Pulento_Dios tatita dios, para la mano con el calor!
397046723077353473***,***@La_Miss_R para eso estoy
396955800725241856***,***Grande presi jajajajajajajaj @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/UqQt4HeuSh
396954923838894080***,***Hijos cuantos somos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/bZyQuB6Ic5
396306121419268096***,***RT @Pulento_Diablo: @Pulento_Dios ANALte?
395749220759515136***,***La wea pesa  #DebateAnatel
395749098172588032***,***@FranSolar hija con estame rei mucho jajajajakajajka perdon roxana
395748852407336960***,***"@ExitosoAlways: #DebateAnatel y el ganador del  dia de hoy @DonDatos RT http://t.co/fNKBbowAnP" @Fr_parisi #FRANJAPARISI master
395748511930535937***,***"@Jaizenverg: La mejor foto del dia jajajajaj csm #DebateAnatel http://t.co/bphHDOcdnh" jajajaja puta los weones pesaoooos @IRICIO
395748090109362176***,***@oposicionpinera fue uja metafora aweonao #DebateAnatel
395746563797950464***,***Michelle Bachellet llevo 4 anos diciendote q pidas disculpas atina por la mala asesoria. Elije o te mando otra diarrea. #DebateAnatel
395744675509723137***,***"@Pulento_Diablo: Michelle Bachelet @Pulento_Dios http://t.co/L06EmsSRpc" #DebateAnatel chamcha mula
395744563370803200***,***@Pulento_Diablo jajajaj ctm soy pesao jajajajaj te la copiare
395414597869391872***,***Jajajaja la wea pesa guaton ctm pesaa @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica http://t.co/3YgFL1NME7
395414101934870528***,***RT @badnature: Cuato sabe..."@Pulento_Dios: Acierto fotografico #DebateAnatel http://t.co/BNnBCOkO0d"
395384323584446464***,***@LucasBlaset michelin bachelet dices tu?
395384000258138112***,***Acierto fotografico #DebateAnatel http://t.co/469tbGRx2v
395217489358897152***,***@MiaManson28 maria magdalena nunca se quejo
395217171539689472***,***Jajajajja puta q.me.rei con este RT hijos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica http://t.co/XYM9ZBn2Fd
395046198484013057***,***Son angelitos mi animalitos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV http://t.co/6tecoMwRfi
395044137981861888***,***Mi hijos reportandoce en 3...2...1 @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV http://t.co/bkecjjVI52
395043150026125312***,***Asi no mas con las profesoras qlias @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/o0pMipxEBO
395042666603245568***,***Para protejer y servir muy fome? Q tal este hijos? @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/dW2abxeTF5
394645907473305601***,***Me los estoy meando a todos queridos hijos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica http://t.co/IvBq8em9u6
394593836724273152***,***Aca esta hijos todo fue falso. La mentira creada por el miedo https://t.co/Knhn37SBM6
394591541928284160***,***"Ojala q piense distinto a mi" esa es la vdd de todos los chilenos @Fr_parisi #LaFranjaDeParisi #yosoyfranco https://t.co/1IgIjujUzZ
394498365305540608***,***@mariaapeculo ahi hombre q maravilla
394330601610035201***,***Para q lo tengan claro mis hijos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica http://t.co/6GPbnUrCrJ
393947623293329408***,***@Pulento_Diablo: @Pulento_Dios http://t.co/ISBEfraGoz jajajajajaja me.pilla siempre weon pesao sapo jajajajaj
393942657312907264***,***Este candidato presidencial supe que se queria hacer el lindo xD @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV http://t.co/PX2rSQYNGN
393891494328676352***,***RT @Carolita_uas: @Fr_parisi estuviste potente en el debate! a pesar de los ataques saliste solido.... entre mas ataques mas votos de la ge…
393891179999133696***,***RT @Pulento_Diablo: @Pulento_Dios @Fr_parisi Vieja ctm le tengo un lugar reservado aqui en el averno.
393890999644069889***,***@FerZuniga_ por q asi se diferencian las buenas ya q si no todos los serian y asi mismo nadie los seria tucheee
393871458503385088***,***@mackitaguerra asi sera
393871428165980161***,***RT @mackitaguerra: Buenos Dias.. Buenas tardes!!!!!!!!. @Pulento_Dios creo que me aparte del buen Caminooo.... Lo necesitoo
393871318484934656***,***No tiene por donde ya se destapo la mentira q produjo el miedo @Fr_parisi #LaFranjaDeParisi @Pulento_Diablo http://t.co/9YcumvMGcs
393835339603001344***,***A los q les quite la vista les diun super olfato hijos @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/bMFH6IiHvU
393712481626910720***,***RT @acardlove: Al que madruga el @elterribledios o @Pulento_Dios lo ayuda jajajaja tanto dios toy confundido buenos dias!!!!
393591335178870784***,***Hijos porfavor alguien sabe el.nombre de esta actriz? @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity http://t.co/JyMfKRrknE
393511693415751680***,***@La_Miss_R @Pulento_Diablo @humanistajc @TOCSHOWUCV @psicocity @Antipoetica A @Fr_parisi todo el rato si no cambiamos todo no cambiamos nada
393511274564182016***,***RT @RaulDiaulo: @bruffinelli @HelhueSukniG @helhuesukni emm bueno, entonces le tengo otra papita, el twitter de Dios: @Pulento_Dios
393455254500429825***,***Aca con la orquesta @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/sQqVyPD2V5
393200214497980416***,***Vote por quien quiera pero averigue e informcese para que no le esten metiendo el pico en el ojo, vote informado vote inteligente @Fr_parisi
393120429805559809***,***A cuantos hize felices? @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/HJ4NsDRnMJ
393119565430804480***,***Super Yisus @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica #elpulento http://t.co/41pMzzKtU5
393119170935525377***,***@al_evanz yonestoy en las.mimas soy pabreeeeeeeee
393119047773982720***,***@Pulento_Diablo @La_Miss_R @HARRYS_Karaoke @lupo_gris @Antipoetica jajajajaja weon mala onda jajajaja
393118703954317312***,***Me dolio hasta el alma @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/RwqMYsxsQi
393062434660835328***,***@La_Miss_R @Pulento_Diablo @HARRYS_Karaoke @lupo_gris @Antipoetica gracias hija usted esta en mis plegarias
392867088617848832***,***RT @Dressor_den: Si hasta el @Pulento_Dios  #votaparisi #candidatoparisi ;-) vamos por buen camino...!!!
392852387779452928***,***Si no cambiamos todo no cambiamos nada. @Fr_parisi #LaFranjaDeParisi #yosoyfranco y quiero a mi pais por eso voto 1/ https://t.co/jp8vCEa6tH
392819788365312000***,***RT @Loriampueropop: @Pulento_Dios Tu que todo lo puedes! RT para un proyecto musical chileno http://t.co/0fBcxqp8u0
392697847922978816***,***@wn_aprovechador: la Asuncion la Virgen es cuando Maria se sube arriba del @Pulento_Dios  @FelipeAvello” algo asi? http://t.co/sDH7igu3c2
392697686010249216***,***@acardlove es q yo me.levante recien
392492554257567744***,***@OsitoAmbosoli esta de.moda y nadie dice la tenia chika asi sabran quienes se la culean
392492367044825089***,***#ensupropiatrampa ninguna dira la tiene chica por hay se sabra a quienes se culio. Sielweonnuncacometioundelito. Cuantos hacen estoenverano
392481863370948608***,***En el pedir no hay engano #ensupropiatrampa jajajajajajaj
392481642507292672***,***PPPF Las minas son super ricas po, hizo lo q cualquiera habria hecho. Tipico chileno @Pulento_Diablo o no? #ensupropiatrampa
392352667529248768***,***Una weona embarazada me putio por no darle el asiento en el metro, q wea no es mi culpa q se la culee un weon sin auto.
392153409907748864***,***#FRANJAPARISI La estrategia de Matthei es mas vieja que el hilo negro. Y asegura q 2 mujeres llegaran a la segunda pfffff ¿asustadita?
392013732450029568***,***@_Mau___ ?
391966042131423232***,***@Fr_parisi #LaFranjaDeParisi ...Si no cambiamos todo no cambiamos nada. Para los q se la perdieron :) http://t.co/MliWBxqDvS
391961706827509760***,***RT @Pulento_Diablo: @Pulento_Dios buenos dias
391961660203610112***,***@Pulento_Diablo Buenos dias perrin
391863926876430336***,***Jajajaja vieja qlia fea @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/g6qHFPleTR
391810767780986880***,***@Fr_parisi excelente campana asi se llega a la gente vamos conto a la segunda vuelta
391760704975290368***,***@Pulento_Dios  leeme xD http://t.co/I3XLG27YlP
391760640945053697***,***@Pulento_Diablo jajajajajajajaj te la robare
391656243787362304***,***RT @pilamou: @Pulento_Dios  pulento!!! I love you!!!!!
391656146332692480***,***RT @acardlove: Ya saben cauros al que madruga el @Pulento_Dios lo ayuda jajajajjajaaj
391655614608179200***,***Aca jugando con willy @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/CgCXnFdISG
391655474879160320***,***Soy metalero para los q no sabian @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/d02E0Qys0x
391655328661508096***,***Me parararon los pacos y esto les pase #buenosdiasbuenastardes @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV http://t.co/EKw5cP3rbk
391655123396476928***,***A cuanto hijos me cague? @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/9Mr0rN8Jgs
391654882911858688***,***@Fr_parisi ya sabes lo q se te viene #pulentoparisi http://t.co/DcLk1JrPfr
391654579739193344***,***Aca sacando unas fotiwis pokemonas @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/k9ixyQxSwA
391432912815403009***,***@alemolinae LO SABIA SI YO ESTUVE AHI
391431163773857792***,***@Fr_parisi  #PULENTOYPARISI  sino cambiamos todo no cambias nada
391431106370613248***,***@Fr_parisi  #PULENTOYPARISI PARASI 2014
391431020622262273***,***@Fr_parisi  #PULENTOYPARISI PARASI 2014 sino cambiamos todo no cambias nada
391430676710322177***,***@Fr_parisi  apoyando al mas pulento para que este pais cambie d una vez por todas como dicen los grandes sino cambiamos todo no cambias nada
391249776382980097***,***@Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica jajajaj
391243821343731712***,***Soy un lokillo lo se @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @Antipoetica http://t.co/CzTkJRiDad
390974447659655168***,***@LaPichulaDice @Pajarracoflaite @Pulento_Diablo gracias
390956671196872704***,***@valeroth20 vale me mandarontusfotos y no tienes nada d q preocuparte eres muy muy rica enviable pedaso de mujer asi q portate bn salu2 hija
390854532051124224***,***RT @Tere_FK: #13TwitterosBuenaOnda@EvelynCTMatthei @Pulento_Dios @Dios_Padre @bruffinelli @LOLborne @flaitechileno
390672539665858560***,***Ya hize lo mio ahora les toca a ustedes @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/upWviA726S
390670693827751936***,***@pattafox pero tu eres como el.vino y wachona ya q la cosa es oferta demanda
390670546498633728***,***@La_Miss_R @Antipoetica @Pulento_Diablo @humanistajc @TOCSHOWUCV @psicocity @lupo_gris @mkzzo @pato_stange seeeeeee
390670483974148097***,***@nalcaman nunca amiga
390670411421077505***,***@IsidoraMaria @humanistajc @Pulento_Diablo yo lo supe antes ;)
390586345568997376***,***@nalcaman te sigo hija no me.levantes calumnias
390531511348240384***,***@Pulento_Diablo @La_Miss_R @humanistajc @TOCSHOWUCV @psicocity http://t.co/knvQqGW1KW
390529752563335168***,***@KiltritaS de nada linda
390529674457006081***,***RT @KiltritaS: @Pulento_Dios Gracias Pulentooo!!!
390529624683192320***,***BACHELLET SORPRENDIDA EBRIA CELEBRANDO TRIUNFON DE LA SELECCION CHILENA @Pulento_Diablo jajajaja @TOCSHOWUCV http://t.co/6BwN14X7FR"
390524492943867904***,***Q saen preparen your annus brazilian @Pulento_Diablo @humanistajc @La_Miss_R @TOCSHOWUCV @psicocity @Antipoetica http://t.co/1X01cmnpWt
390503092350767104***,***RT @Pulento_Diablo: @IsidoraMaria @Pulento_Dios el lado oscuro esta contigo.
390503044560867330***,***@IsidoraMaria @Pulento_Diablo suerte q estoy contigo
390449279497555968***,***@La_Miss_R @TOCSHOWUCV @psicocity @Pulento_Diablo @humanistajc de nada
390340900783534080***,***Hijos los estoy esperando ya arregle todo :) @TOCSHOWUCV @psicocity @Pulento_Diablo @humanistajc @La_Miss_R http://t.co/jh550KYHZY
390336106278821888***,***RT @cotteacevedo: @Pulento_Dios Graciasss
390297626718920704***,***Los mando a brazil hijos
390156438359654401***,***Hoy volamos rajas @Pulento_Diablo @La_Miss_R @humanistajc @Antipoetica @ArturoVidal_23 @chilevision @TOCSHOWUCV http://t.co/sefcBGjfVn
390155613818212352***,***@La_Miss_R hoy ganamos y mas rato a la plaza italia ahora voy al gym para llegar a ver el triunfo
390145523904049152***,***@La_Miss_R foto new ♥
390145284681916416***,***@Andre_illa @texiasmith @scroib todo el rato
390084347706880002***,***@Andre_illa @texiasmith @scroib jajajaja
389943439489384448***,***Aqui con mi perro  jajaj!! http://t.co/BQ1yCNnMTQ"
389529894394150912***,***Manana es dia de crossfit y de entrenar duro @Pulento_Diablo @humanistajc @Silvana_FGB http://t.co/chnryIk2sG
389489654216421376***,***RT @vdelgadoe: Senor aumenta nuestra fe y la linea de credito. Amen @Pulento_Dios
388945062756757504***,***@psicocity @PorQueTanLoco  milf de mi alma ahora te pillo en mi otra casa twitera un beso y lindo vestido el de hoy sexy tierno y mordible
388785308356988928***,***RT @SummerLoserBoy: "@Pulento_Dios: Por goliada al mundial y en el segundo partido alla nos culea brazil y pala casa :)"/ Amen
388779938452480000***,***Por goliada al mundial y en el segundo partido alla nos culea brazil y pala casa :)
388779458791895040***,***golazoooooooo nos vamos a brazil pero con condon pa no pegarnos el sida y se nos caiga a pedazos pero vamos weon golazoo tamos alla gritando
388779185419718656***,***@La_Miss_R @Antipoetica @humanistajc @Pulento_Diablo @pulentavirgen estoy en camino
388722487304790016***,***"@Pulento_Diablo: @humanistajc @Antipoetica @pulentavirgen @Pulento_Dios orgia http://t.co/Soek7QOeeP"
388716887158190080***,***Secretooooooo http://t.co/s4MDGPmPz4
388716551932612609***,***Hijo mio usted sapbeeeeeee @Pulento_Diablo @humanistajc @La_Miss_R @Silvana_FGB http://t.co/oLM4L8XJAk
388715132991184896***,***Paseando perriwis @Pulento_Diablo @humanistajc @Silvana_FGB http://t.co/YlZRdKj70W
388714961666457600***,***Hoy es viernes de putas http://t.co/lhSYegkJ50
388690883299659777***,***RT @Pulento_Diablo: @La_Miss_R @humanistajc @Luisosval @PulentoJudas @Pulento_Dios hoy gana Chile mierda, alisten las garrafas pa la celeur…
388690808062230528***,***@nj_vidal los amantes de los animales no tienen nada q temer
388690659952951296***,***RT @paula_benedit: Soy agnostica, @Pulento_Dios ¿A pesar de eso, me seguira?
388690643779743745***,***RT @ElSalvaNoMas: @Pulento_Dios ohhh... un privilegio que sigas a uni de tus hijos!
388690562938728448***,***@Pulento_Diablo @La_Miss_R @humanistajc @Luisosval @PulentoJudas la ondita de @Pulento_Dios http://t.co/oNXCZQme7D
388543930796482560***,***RT @jenniferurtubia: Me siento protegida ya que el @Pulento_Dios me sigue ♥
388543887444152320***,***@carolpinilla ;)
388512819689185281***,***@carolpinilla me golpeaste con eso hija
388510206352584704***,***Hoy clasificamos @chvdeportes @SeleccionChl @ArturoVidal_23 @GaryMedelFacts @pinigol51 @Pulento_Diablo @magovaldivia http://t.co/eMcQ3JQkdi
388509512325292032***,***No mames @porquetanloco @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento @PulentoJudas http://t.co/pwyQS1FMQs
388509259001909248***,***Calmacion mierda @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento @PulentoJudas http://t.co/Pkqa9VdWJs
388509153850707968***,***Pobre @PulentoJudas @eltodopulento @elterribledios @La_SemiDios @Pulento_Diablo @humanistajc @Silvana_FGB http://t.co/oUGQ03v7Vd
388508973063618561***,***Nop pero tengo Twitter q saeeeen @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento http://t.co/NNkQOPZAKs
388508801264930818***,***Identificados en 3..2..1 @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento @PulentoJudas http://t.co/pKsDzQ5xHH
388508647619178496***,***Soy malo? @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento @elterribledios http://t.co/8rdxSYZ6J2
388508493713403904***,***Y gane q tal @Pulento_Diablo @humanistajc @Silvana_FGB @pulentavirgen @eltodopulento @elterribledios http://t.co/XdAfVzH0Ie
388508273248190464***,***Hay taba http://t.co/RI4BHiI6ib
388474909422141440***,***@Pulento_Diablo @La_Miss_R @humanistajc @Luisosval @PulentoJudas te pasaste oye
388474854468378624***,***RT @Pulento_Diablo: @La_Miss_R @humanistajc @Luisosval @PulentoJudas para ti @Pulento_Dios para Q de rienda suelta a sus bajos instintos ht…
388474845328986112***,***@La_Miss_R @humanistajc @Luisosval @Pulento_Diablo para ti @Pulento_Dios gracias diablo te pasaste acahttp://t.co/9fgYxh2wFF"
388152153996398592***,***La paz os dejo, mi paz os doy. Seguid rezando, que yo me voy. http://t.co/VKj6An7hYw"
388129696002502657***,***@Vanexvaldivia ??????? Jajajajajajaj claro q si campeona
387769351509508096***,***Tipico aweonaooooooooo http://t.co/SRWeAtdIJ2
387657401144311808***,***@Pulento_Diablo @La_Miss_R @Luisosval @PulentoJudas @humanistajc ya cym deja de delatarme prometiste y nunca.lo hariaa
387657301084999680***,***@La_Miss_R @Luisosval @Pulento_Diablo  @humanistajc todo un PlayBoy este  @Pulento_Dios http://t.co/GnVIe7CXgG
387657160731025409***,***@Pulento_Diablo @La_Miss_R @humanistajc @Luisosval @PulentoJudas  una desanparada
387657053704953856***,***@La_Miss_R @humanistajc @Luisosval @Pulento_Diablo En que calle anday @Pulento_Dios las queris toas pa ti http://t.co/YSyjF7uyDb
387656950441201664***,***@NataGuillou protejida hija y bajeme.el.tonito
387656803447627776***,***@Pulento_Diablo @humanistajc @La_Miss_R @Luisosval @PulentoJudas era.mi ultima cena y los cabros se rajaron
387656687554801664***,***@humanistajc @La_Miss_R @Luisosval  @Pulento_Diablo Mira como te pillaron @Pulento_Dios te haci el wn no mas ; ) http://t.co/gin7cZOCzl"
387596052951355392***,***RT @humanistajc: @La_Miss_R @Pulento_Diablo @Luisosval @eltodopulento @PulentoJudas @Pulento_Dios siempre lo supe....
387595973251182593***,***@Pulento_Diablo @humanistajc @La_Miss_R @Luisosval @eltodopulento @PulentoJudas jajajajaj no me delates po wn
387595895799156737***,***@humanistajc @La_Miss_R @Luisosval @eltodopulento @Pulento_Diablo como te sacaron la foto @Pulento_Dios http://t.co/8dqoFkgMRV
387246155945365504***,***@zapatistapedro sapbeeeeeee
387246081131569152***,***@OSanchez_93 pajeate y no me digas
387245958456565760***,***@NataliaFaundez orbiod hijaa
386654578181042176***,***@La_Miss_R la vida.es.muy corta para ser fome y buena asi q disfrutala q es s o lo una
386654446513446913***,***@La_Miss_R eso me encanta
386520620965449728***,***@La_Miss_R buenos dias pecadora
386520527184998401***,***@La_Miss_R para de gozar oieeeee
386295488774828032***,***@La_Miss_R @Pulento_Diablo @humanistajc @Luisosval @eltodopulento @PulentoJudas Ellaaaaaa
385935932697755649***,***@La_Miss_R @Pulento_Diablo @humanistajc @Luisosval @eltodopulento @PulentoJudas yo tabn quiero :( un salud
385869836556853248***,***@Vanexvaldivia jajaj y quien me anda robando las lineaas
385454328762208256***,***@Katthy_UC asi sera hija
