669355490653016064***,***@consstla buena buena
634541651864748032***,***Unas chelas y esto se distorsiono
634204483665424384***,***RT @YolandaSultanaH: CAPRICORNIO: No dude de los sentimientos que le entregan ya que estos son 100% reales. Preocupese por su estado fisico.
634132384393392128***,***Chatitaaaaaaa 😓
633996585337253888***,***RT @SassFiona: La cague,😨 ven a ese viejito sentado bueno crei q estaba pidiendo dinero y le eche unas monedas y el vaso tenia cafe http://…
633992811919093760***,***Porque soy tan inestable jajajjajaja al hilo de la determinacion pero de los demas 😓
633992678250782721***,***Pa que tan raro mi amorrrr 😅
633989386238054402***,***Me marchare te dejare el camino libreeeeee, no lo eches a perder otra vez!🎉 http://t.co/p70IbNSrhU
633987294442209281***,***💖 lo mejor http://t.co/a74Qjw6qL4
633983469811597313***,***Puras pesadillas 😞
633798666281709568***,***Le pedi besos y me dijo : "no, picooo"
633798541236924416***,***El hijo de mi primo dice puras groserias jajajajja
633798468742574080***,***En coronel 😆
633671036127588358***,***No se si tomar desayuno o almorzar 😕
633656627883864064***,***@cgarcesfritz era la tia del colegio o no jajajjajaa ?
633486890193305600***,***@cgarcesfritz subio de nivel antes puro fruna
633486801395707904***,***Algun dia me dara paja y me la@comere con cascara jajajjajaja
633486749285621763***,***Me da tanta paja pelar la naranja
633454477534732289***,***RT @DanielDiaz_CL: Cara Delevingne hasta con esas poleras culias de $3.990 de Paris se ve bien hueon.
633451784556707840***,***@d_iegoc yo no vendiooooo
633439358482317312***,***Menos mal soy mina jajajajja
633439239879983104***,***Esos combos qls de palomitas +bebida cuestan el doble que las entradas al cine jajajajajjaja
633116892409032705***,***RT @YolandaSultanaH: CAPRICORNIO: Escuche a su conciencia y dese cuenta los errores que comete con los demas. Cuidado con esos malestares a…
633116520718184448***,***@d_iegoc yo te amo 💖
633108780440494080***,***@d_iegoc 😔 sorry
632973096761315328***,***@fm2radio especial domingo de Gustavo Cerati 💖
632961517898629120***,***Mar de fondo...no caere en la trampa
632961362948452352***,***Signossss mi parte insegura , bajo una luna hostil
632961285848756224***,***Si estas ocultas como saber quien eressssss
632961234279776256***,***Te doy todo y siempre guardo algo
632961188847087616***,***No hay un modo... No hay un punto exacto
632960874978897920***,***Quiero que me trates suavementeeeee🙈
632960807714856960***,***No quiero sonar mil veces las mismas cosassss
632951751449145344***,***Que raro despertar un domingo sin cana 😯
632950500040802304***,***Jajajaj busque y significaba que no era un capitulo cerrado con la familia ayeaaaa que nunca me despedi jjajajajaja que mierda
632949372326690816***,***@vanitahidalgo 😭😭😭😭😭😭
632947404623474688***,***Lo unico bueno del sueno es que volvia hablar con mi ex cunada y me caia tan bien 😞 lq
632946962002743296***,***Me sone con mi ex y toda su familia hueon 😓😓😓😓
632758841378258944***,***RT @YolandaSultanaH: CAPRICORNIO: La vida le presenta nuevas oportunidades cada dia, no las desaproveche. Tenga cuidado con los accidentes …
632749506539425793***,***Por fin me siento segura 💖 http://t.co/xi6uKeK0md
632746673803010049***,***Me siento feliz con mi vida , ojala se quedara asi por un buen rato 💖
632746519117045761***,***Tapsin noche y acostadeli
632738990043623425***,***💖💖💖💖enamorada http://t.co/Udue68ahvs
632738656164409344***,***RT @JavierAsicalao: No se si es peor comer harto y a esta hora o tomar toda la noche
632738081699971073***,***De saloon💖💖💖💖💖💖💖💖😭
632738022606376960***,***Hueoooooonnnnn amo a piero 💖💖💖💖😍💖💖💖
632737851373932544***,***Te amo piero 💖 https://t.co/phttpXrYWc
632617411183775744***,***RT @PoeGalan: A toda mujer le encanta que su novio se tome fotos con ella. Sepanlo.☝
632617093926645762***,***No me llaman mucho la atencion esas carcasa de VS 😞
632604737733566464***,***Me levante motivaitaaa cuidaoooooo 🔥🔥🔥🔥
632582668962635776***,***No me gusta el argentino de manos al fuego 😓
632581367650459649***,***@d_iegoc jajajajja ql!!!!!
632378972467253248***,***Admiro tanto a mi viejo ... No se si sera lo cara raja que es o por lo tirano Jajajjajaja 😈
632373151356321792***,***RT @PedritoEngel: CONSEJO PAL FINDE:Si la U o la pega ya lo empezo a estresar; una inhala de popper no lo nutrira, pero lo relajara http:…
632367720118525952***,***@d_iegoc jjaj rechazando carretes llenos de excesos
632367316072833024***,***@d_iegoc jajajajajjaja somos amigos sin excesos ahora 😭
632366888065089536***,***@d_iegoc cual ?
632214803864506370***,***Yo amo a mis sobrinos pero hoy se estan ganando mi odio La Paz 😓
632175112511430656***,***Quiero un jugo de naranja 😭
632174558758477824***,***Murien2
632170989686800384***,***RT @YolandaSultanaH: CAPRICORNIO: No confunda tanto las cosas ya que le llevara por un camino equivocado. Conduzca con precaucion, no exced…
632000569620733952***,***RT @JulioVidela1: se viene devois estoy nervioso
631995562678702080***,***No puedo respirar 😭
631965924816494597***,***Ya Po urbano aburrete me quiero ir ya me duele el potito
631965773855109120***,***Mi mama  se va a rajar con sushi 🎉
631965699758551040***,***Ya no tengo nariz 😓😓😓😓
631964734141648896***,***11 horas continuas en la u 😓😓😓😓
631678682839543808***,***RT @Jhonny21Plus: Yo   ┳━━┳━━┓   ┳┓┃┃━━┓┃┃━┓┗━┃┃┃┃┃┗┳━┃┃┣━┃┃┏┛┃┣━┃┃┃┏┫┃┃━┫┃┃━┫┃┏━┛┃┃┗┻┛┃┣┫┗┓┃┃┃┏━┫┗━┓┃┃┃┗━┫┃┃┗┻━┣━━┃┣┛┗━━┗━━━┻━━━┻━━…
631678427146387456***,***RT @PedritoEngel: #Capricornio No pesque la mala onda y nunca olvide que si quien la critica es fea, no vale 💙
631678342945710080***,***RT @YolandaSultanaH: CAPRICORNIO: No se haga mala sangre por los problemas que ocurran. Tenga un poco mas de cuidado con su vista. Se prude…
631677974383861760***,***RT @omemichile: CONFIRMADO: Esta la pura caga'
631677176589459456***,***@JavierAsicalao ... Jajajjaaj no habia paaaaa que po!
631677092875341824***,***Hoy vi caso 39, buta la pendeja diabolica
631677000491659264***,***Mi jueves es mi viernes , pero ... El mas agotador de la semana 😞🆗🆗🆗🆗🆗🆗🆗
631676825681440769***,***@JavierAsicalao yaaaa te pusiste asqueroso yapooooooo
631676407870058497***,***@JavierAsicalao jjajaj 😭😭😭😭😭 es verdad
631675811192553472***,***Tengo mas mocos que sueno 😭
631668344614191108***,***Justo me tenia que resfriar 😭😒
631312087806046208***,***RT @d_iegoc: la huea es cuando ella quiere, fin
631311490151268356***,***RT @YolandaSultanaH: CAPRICORNIO: Los errores pueden costar muy caro, aun es tiempo de remediar las cosas. Cree habitos alimenticios en los…
631297251781050372***,***RT @YeyitaGB: EN MANOS AL FUEGO PURO KE SE LAS CAGAN POR WETA DONDE NO TIENEN A SU PERSONITA ESPESIAL DE LA JETA Y CON LOS JOTE NO APRETAN …
631297251764269056***,***RT @kevinkgz: Por que ocultan su ultima conexion y los ticks azules? Que ocultan?
631297218633465856***,***Francisco esta casi llorando jajajjaja #ManosAlFuego
631293195419303936***,***Merecemos lo mejor despues de toda la mierda que hemos pasado 💖
631272931138609152***,***El Diego es el bestttt 💖💖💖💖💖💕😍 @d_iegoc
631133470555828224***,***RT @HeyHey_App: Gustavo Cerati (1959-2014). http://t.co/pIsfLNDRtQ
631133413404188672***,***RT @YeyitaGB: MI CORASON SE ENCUENTRA DEMASIADA FELIZ DESDE QUE LLEGASTE A MI LADO ME ENCANTAS DEMASIADA CADA DIA MI VIDA RICA ❤
631133364230193152***,***Personas de papel para ciudades de papel 🆗
631122972816879616***,***Quiero esooooo y regaloneoo😥💓 http://t.co/jPFkaszotY
631122596499689472***,***RT @PedritoEngel: #Capricornio pedir ayuda, buscar carino y dejar de hacerla piola con varios a la vez,estabilizara su vida en general. Coq…
630924699896315904***,***RT @PedritoEngel: CONSEJO DEL DIA:La cosas pasan por algo, por weona por ejemplo. http://t.co/d9yCfofKKy
630924679948189696***,***@d_iegoc es un amor 💘
630924622481989632***,***@d_iegoc yo te amo💕💕💕💕
630924548750340097***,***😍
630863365838086145***,***No necesito mas tus "pero" que condicionan todo
630863030633529344***,***RT @d_iegoc: pienso hueas, pero siempre termino haciendo  lo contrario
630862906998030336***,***Volviendo a las cosas simples 🍃
630590362579546117***,***#camilagallardo ujuuuuuuu🎉🎉🎉
630589565926043649***,***Buuuuuuuu la Martina
630584074655154176***,***No me aguante jiji
630578848254590976***,***Hasta con cerrar fbb
630578763437355008***,***Con cuatica me dio
630577826102669312***,***RT @YolandaSultanaH: CAPRICORNIO: Sin que te des cuenta tus amistades te iran acercando a la persona que realmente debe estar contigo. Debe…
630577015620567040***,***Filo si algo habia que arriesgar o no ? ... No ? Jajaj
630575487799160833***,***Como mierda soy tan ahueonaaaaa 😭
630572988849614848***,***Sigo siendo la misma ninita llena de caprichos qls
630572668123750401***,***Jjajaja no me puede pasar esta huea ya dos veces 😅
630571506469310464***,***Donde esta mi dignidad?
630556530023268352***,***RT @danialmond: Yo creo que lo peor que te puede pasar, es que te guste alguien que no sabe lo que quiere
630551388481785856***,***Por esperar algo que nunca iba a volver a ocurrir ... Perdi lo que si me hacia feliz 💀
630543469405188096***,***@d_iegoc si 😍😘
630543320259919872***,***@d_iegoc pirulitaaaa 😂
630543271207510016***,***@d_iegoc jajajjjajajajnanaa te amooo💘💘💘💘
630543205671522305***,***RT @d_iegoc: aunque no tengas los tick azules yo se que me dejaste en visto culia
630543028923559936***,***Ahora debo tener un cartel gigante en mi frente:PATETICA 💀
630539891403845632***,***RT @holavillablanca: - salgamos- no tengo plata- yo invito http://t.co/d6TYjLsjzr
630535802913705984***,***@d_iegoc so reventaoooo
630520178271473664***,***RT @ElverMeren: Que no te escriba o no te llame no quiere decir que no me este muriendo por hablar contigo.
630520084696535040***,***RT @Jani_fm: Nunca falta... http://t.co/16KdHygKiF
630518824471818241***,***😞😞😞 nada me resulta
630497914901655552***,***Algun dia tendre las cosas claras ... Ahora no me pidan mucho
630496856452296704***,***RT @d_iegoc: me cargan las personas frias, sepanlo
630392529251368960***,***http://t.co/8x38QEKQhU
630227333845266434***,***RT @YolandaSultanaH: CAPRICORNIO: Saca a relucir tu lado romantico, esa es un arma muy poderosa. No al abuso del alcohol, cuida tu higado. …
630220476611227648***,***Uh ayer despecha2 bailando con una mina ahi al frente  mio 😁💣💣🔪🔪 matate csm
630220193441169409***,***RT @ddanieldiaz: Queria tanto un sabado en la noche en mi piezauhhuh
630220103372668928***,***@d_iegoc aw gracias
630219886615228416***,***Peliculas con mis negras ❤
630194322307162113***,***Papa no quiero ir al casino yo quiero pijamada con mis amicasssss
630088001725538305***,***Tengo que ir a san Pedro por la chuchaaaaaaaaa
630080174181232640***,***Jajaja caldillo de mariscos 👌🏻
630074022181605378***,***Se te nota por encima de la ropa 😏
630070438710898688***,***Tanto que fume no puedo hablar 😭
630069882726547456***,***RT @d_iegoc: AY QUE LO PASE BIEN ANOCHE
630069803206713344***,***Jajajajajaj mi cloe le hizo pipi en la roo que la Vania dejo botada jjajajaj
630043754385272832***,***Mi amiga duerme como el pico estoy que le aforro
630043571945635840***,***RT @birdsthatblow: Que horrible comerse a alguien y no acordarse 😂
630043284417695744***,***Y con ese csm despues en muneca 😖
630043220915961856***,***Porque siempre me pillo con csm en lote
629819172961275904***,***Sala 7 ----&gt; lote
629734739310735360***,***Porque los estudiantes de pedagogia en ingles son tan otakus jjajajaja
629734688807104512***,***4 tui y no fue suficiente jajajajajaja
629711572483579904***,***RT @vcdepolo: Mientras mas te conozco, mas me gusta la piscola.
629676671256391680***,***Tengo hambre 😭
629671647826575360***,***RT @Gxfo: El sueno de toda mujer es que su hombre la agarre fuerte, la tire en la cama, y haga todo el aseo mientras ella toma una buena si…
629671377944059904***,***RT @Gxfo: Tu, yo, una cena romantica... No se, piensalo http://t.co/gefLgD27e1
629669865712971776***,***RT @PedritoEngel: #Capricornio Si la vida le da limones, compre tequila y pongale bueno. Exito material. Arriba el animo 💙
629659326525927424***,***Se me perdio el carnet de vacunas de la cloe 😭
629657409053716480***,***Dormi toda doblada 😭
629505853704536064***,***RT @ElTioPini: No importa que tan buenos sean los cantantes, ninguno supera a mi hermanito  #TheVoiceChile http://t.co/mxlrklCIYd
629504223416320000***,***RT @YolandaSultanaH: CAPRICORNIO: No por mucho apurar las cosas estas saldran mejor. Ese estado depresivo debe tratarse. No deseches ningun…
629504132458655744***,***Mi cloe no duerme si yo no me meto a la cama con ella
629490928282128384***,***😍
629471920296173568***,***@d_iegoc tener dignidad podria estar en la tuya
629468812757311493***,***Creo que tendre que hacer una lista de todas las cosas que tengo que hacer 😭
629465754119839744***,***Yapo que alguien me acompane a comprar los regalos 😭
629464839119892480***,***RT @yuyacst: El tipo de hombre que escogemos es proporcional al amor que nos tenemos.
629458781886357505***,***RT @YeyitaGB: CON GANAS DE PEGARME UN PERREO DE ESOS QUE ME VUELBEN LOKA
629457049999552512***,***@cgarcesfritz ese estaba cerca es piola 👌🏻
629456731362476032***,***@cgarcesfritz sushiGo?
629456624638394368***,***Despues una michelada + un cigarro 😍
629456550407634945***,***Quiero sushi + sprite
629447548445552640***,***Eres patetico
629439361906548736***,***Quiero sushi 😭
629437748206804992***,***@d_iegoc jajajajajjajaja
629437664362635264***,***RT @YeyitaGB: DEMASIADA FELIZ ACOSTADITA EN ESTOS DIA DE LLUBIA SIENDO REGALONIADA POR MI PERSONITA ESPESIAL
629437464420200448***,***Me quede dormida viendo los minions 😭
629419584442007552***,***Viendo los minions🍌
629415886915530752***,***RT @tatu_clow: Cuando alguien... http://t.co/JNRZJlyJ7O
629415585332490240***,***Que no me guarde rencor que el amor es asi jajajja
629405911925157890***,***No hay huea que odie mas que cierren la puerta de mi auto fuerte 😔😔
629264435987791872***,***RT @d_iegoc: DIOS QUITAME ESTAS GANAS DESCONTROLADAS DE BAILAR PORFAVOOR😞
629264312247447552***,***A la u para comenzar mi jueves intenso 😭💪🏻
629110475276615680***,***Enojada eternamente con la cloe , aunque me ladres no te subire a la cama fea !
629108493241462784***,***La de los celos y amor posesivo soy yo ☝👏
629107997294338048***,***RT @HoroscopoViral: #CAPRICORNIO: Orgulloso. Puedes tolerar cualquier cosa pero no que te traicionen y danen tu orgullo. Las traiciones se …
629101546748399616***,***Se que manana tengo un dia de mierda y aun asi no voy a hacer tutito
629101451667746816***,***Tengo frio wey
629101390518988800***,***RT @ddanieldiaz: SI NECESITA REGGAETON DALE!Y la suricatita bailando
629100074711261184***,***Necesito un pololito para aburrir tanto carino
629100008801980416***,***Tengo ganas de dar amor 😭
629099894951800832***,***@d_iegoc ya 😍👏
629096214575869953***,***Quien me acompana a comprar los regalos paras mis sobrinos el viernes ☝☝☝☝☝ no se peleen
629096117293215744***,***Yo no mas me tomo el triobal de dia en la noche jajajajajjajaja
629092547269410817***,***RT @heydollparts: Aunque la chana se vista con northface chana se queda. 🌞
629092495624929280***,***RT @SenoraCatolica: Es PECADO hablar con desconocidos, esta en la Biblia.
629092436355207168***,***RT @cgarcesfritz: aunque pierda la cabeza jamas pierdo la pureza
629082577693999104***,***Algun dia me van a regalaron un oso gigante 😭
629081287698030592***,***@titasalasl en conce estaba la caga con la lluvia jajaja
629081135310602240***,***Amo el pan amasados
629081097704448000***,***Amo los palmitos
629070533523599364***,***@d_iegoc  ❤ http://t.co/oh6mCOSecM
629067577868845056***,***Ojala algun dia tener un pololo que me obedezca como mi cloe ajjaja
629060272020451328***,***Esto era? Jajaja hace rato pu papito 😂
629060096371376128***,***Quiero ir a la Laja al salto 😢
629059995129249792***,***Jajaja me carga que digan "tenemos que hablar " me dan ganas de pegarme contra la pared 😂
629059659366834176***,***Mi dia resumido :—(•︵•)               ¯\)   )/¯                      L L
629059451090259968***,***No se como se me va la plata tan rapido 😢
629059400364371968***,***Algun dia podre ahorrar jajaja
629058803699458048***,***@rociobucarey no te las suspendieron ??
629058695968768000***,***Dia ql:mis zapatos me hicieron herida, casi me voy de pana de bateria en el auto 😅.se corta la luz en la u, taco y mas taco
629030502759051264***,***el Diego es el mejor del mundo
628895211192774656***,***No quiero ir a clases 😭
628894704197877760***,***Que hace frio 😭
628787249929396224***,***Yo quiero dormir ... Pero esta bueno #AsiSomos
628780559150514177***,***Lotte el viernes ... Tu y yo 😏 que te parece
628780531325530113***,***1:11 am —(•︵•)               ¯\)   )/¯                      L L
628778768849571840***,***@rociobucarey jajajaja creo que tendre que usar 😔 —(•︵•)               ¯\)   )/¯                      L L
628777992165163008***,***: —¿Y el amor de tu vida?.        —(•︵•)               ¯\)   )/¯                      L L
628776177356947456***,***La cloe no ayuda mucho haciendo tuto encima mio 😓
628776073736626176***,***Ayuda
628776036382150660***,***Si no lo voy a buscar no me despertare manana 😭
628775961316691968***,***Mi cargador esta en mi auto 😭
628775905779941377***,***Necesito una lamina de vidrio ahora !!!
628762594833248256***,***El adios le duele a quien  se queda*•*
628748456354521093***,***No lo pude evitar tenia que tomar una mcihelada 😭
628744223139995648***,***Y ese soldadito😏😏😏
628741716548431872***,***Que el perfume miss Dior 💕
628732973676929024***,***La cloe me ve y corre
628732931025059841***,***Chucha sal del mar muerto jjaja
628732789823770624***,***Me puse una mascara de mar muerto 😌👌🏻
628619417404993536***,***Tengo un globo de minionsss sumo puntos el feo ql!!
628619354729508865***,***Lindo este minito
628619315030413313***,***Quien me viene hacer almuerzo 😅
628592367466094592***,***Pero me desperto jajjaj
628592330824679424***,***Ayyy se la esta jugando este hombre 😌
628414670815236096***,***👌🏻 http://t.co/OoQOhERlGk
628410847367462913***,***RT @dmirandapp: Hay que saber elegir con quien complicarse la vida
628403064240799745***,***No me queria poner mi pijama enterito pero este frio me obligo
628401612009156608***,***Cual es el fin de inventar tanta huea 😭
628401549912481792***,***Hueon tengo tanto odio en mi ser 😖
628400902316130304***,***RT @SenoraCatolica: Usar maquillaje y que la cara te quede de un tono mas claro que el resto del cuerpo, PECADO.
628397453172187137***,***Porque son tan maricones 😔
628397447879000064***,***Cahuines qls!!
628397447761514496***,***De primero medio que no me pasaba esta huea Jjajaja
628395071986102272***,***La cloe despues de correr por toda la cama y saltar me languetea jajajaja todo eso en 3 segundos
628381546387480577***,***@d_iegoc te odio
628381091808854016***,***@d_iegoc no conozco feas qls
628380111209930753***,***@d_iegoc y la pata pela?
628377934798188544***,***@d_iegoc dejame ami y mi ap
628376657762623488***,***Si los dos hubieramos echo las cosas bien desde un principio 😔...
628375324355641348***,***RT @YeyitaGB: COMO CONPARAS A UNA LEONA COMO YO CON UNA GATA COMO TU JILA PERO QUE CLASE MEDIA
628373240986107904***,***@d_iegoc es para que las perras envidiosas no vean que las pelo jajajajajja
628373146660417536***,***Manana vere a mi amiguito Diego 🎉🌄
628373001390702592***,***@d_iegoc jajajaja 😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏🚼🚼🚼🚼🚼🚼🚼🚼🚼🚼♿♿♿♿♿♿♿♿
628372705277018112***,***@d_iegoc 😏...
628372404524449792***,***Manana entro tarde 😍 netflix ✳✳✳
628371981080117248***,***Me gusta mucho sus chochitos😍 pero me asusta ayea
628371844983324672***,***RT @consstla: Oye el Diego no se con que cara nos decia a mi y al dani perifericos, si vive a la mierrrrrrrda!!! Ajajajajaajajaj
628371625591873536***,***RT @JulioVidela1: NO ESTOY NI AL METRO PXRO PERKIN
628371534227341312***,***RT @PedritoEngel: #Capricornio baje de la nube, para divazos fabulosos muy minazos, estoy yo. Busque fuente economica, el olor a pobre se n…
628371186645397504***,***RT @danialmond: Sabes que te gusta alguien cuando lees su horoscopo e intentas hacerlo calzar con el tuyo
628371157620793344***,***RT @TuExDice: A veces sufrir te ensena a vivir.
628371079086665728***,***@d_iegoc me saque el chicle de la boca y lo aprete y despues aplaudi jjajajjajajajajajjaja
628370896093347840***,***Como apretar un chicle con la mano 😭 y despues aplaudir jajajjajajaja la pura caga
628370796709285888***,***Cura se me ocurre cada huwa 😭
628370608817090560***,***@d_iegoc jajajjajajaja 😭
628370358098374656***,***RT @rosarioguinez: ¿Te gusto haber entra2 a clases?- http://t.co/Hdrp5OGSDf
628370313999437824***,***@d_iegoc ojala 👌🏻
628370241354092545***,***@d_iegoc wuaajajajaj
628369785852723200***,***Llegar y lo primero limpiar los pipis y popo de la cloe
628052540081483776***,***RT @danialmond: No entiendo ese afan tuyo de buscarme despues de haberme dejado
628052019744481280***,***@d_iegoc cuando lo merezcas
628048980686020608***,***RT @HomeroLodijo: Dejaste un hueco en mi corazon que no podia llenar, asi que lo llene de comida... ¡Pero nunca estoy satisfecho! http://t.…
628043002561331200***,***@d_iegoc hermosa
628042969334026240***,***Jajaja cuando dejara de tiritar este perra 😓
628042847594409984***,***@d_iegoc que feaa
628042576818532352***,***RT @elasechooficial: Que es bonito cuando alguien ignora a todas las personas por ti... No me ha pasado pero debe ser bkn
628030865726132228***,***@d_iegoc ya po 👌🏻
628029578808815617***,***@d_iegoc el amor mejor
628028645718761472***,***@MATI_ZAMORA 😂
628027747567304705***,***RT @ElverMeren: Que dificil vivir con alguien que esta en tu corazon, pero no en tu vida…
628027157051256832***,***@Catitacatril 😔
628027108128915456***,***Ahora que tengo a la cloe mi pieza todos los dias la ordeno 😋
628025221505806336***,***RT @carlonchitu: muestra de madurez o de ahueonao ser amigo de tu ex y apoyarla por sus atados con su mino actual? Ayuda!
628025062944325632***,***Quiero fumar pero me cagare de frio 😔
628018830330216448***,***Tengo como tuto acumulado 😴
628002473379241984***,***Intentado encontrarte en otras personas
628002343972413440***,***Todo el dia canciones romanticas jsjaja que chucha me persigue 🏃🏃🏃🏃
627997505645580288***,***@d_iegoc me gusta que me traten mal 😓
627996199644229632***,***Para que comprar cuadernos si estan todos nuevos mis cuadernos 😂
627995838183251968***,***Para que iba a comrnae cuadernos si estan todos nuevos jjajajja
627994303151894528***,***Cuando mi sobrino me pega mas lo beso 😚😂
627993653080948736***,***@leop_parra flaite
627993523724419072***,***Mi mamita echo petroleo al sorrentito🎉
627991829854711808***,***Que rico es manejar por el by pass de coronel de noche 😍
627942000772386816***,***En wkd habian tantas canciones que me llegaron medio a medio jjajajajajaha 😖
627940058688040960***,***RT @LaVidaEnLibros: "No se puede ser fuerte con alguien que es tu debilidad."
627936373354442752***,***Te amo 😍 http://t.co/wYk5RgnST2
627929476928798720***,***Buta mama oh!!!! No me quiero duchar 😓 quiero ver mil peliculas en netflix
627916219069386753***,***@d_iegoc 💰💰💰💰
627905182052052992***,***Vendo chihuahua macho 2 meses 👌🏻
627901738184482816***,***@MATI_ZAMORA no 🐑
627900728389058560***,***@leop_parra 😒 respeto 👊
627900652224708608***,***@MATI_ZAMORA vo puuuuuu rulo
627900129576624128***,***@leop_parra no 😕 yo soy asi emo por naturaleza jajajjaja ayea
627894475222814720***,***@MATI_ZAMORA no 😩
627894091339169796***,***@leop_parra si jajajjaja
627892484438364160***,***@leop_parra jjaj 👌👏👏👏👏
627892189285191680***,***RT @FilosofiaTipica: "Cuando existen las ganas, todo es posible."
627891602829262848***,***RT @EsSarcastico: #SenorSarcasmo 😜 http://t.co/gMgH687bHJ
627891422906159104***,***Duele ver que le entregaste a otra el corazon 🎶
627885717398638592***,***http://t.co/bMxhZvnJbe
627877043758350337***,***😴
627733582862254080***,***La cloe se pone jarrrcor jajajaa
627727234472767488***,***En vez de estar con una piscola en la mano a esta hora ...
627719677049970688***,***RT @_aleugarte: http://t.co/MJ1HXw1vBR
627711402405404672***,***Cuatica la lluvia 😓😓😓
627697582291189760***,***@d_iegoc jjajaja siempre,me carga que digas esa huea
627658573540130816***,***RT @d_iegoc: para despeinar tu pelo con un beso
627658543559217152***,***RT @d_iegoc: para mirar tus hermosos ojos a fondo
627658179938263040***,***Que rico encerrarme en mi pieza mientras todos estan compartiendo en la casa jajajaja #EnLaEmo
627621936030482432***,***Corderitoo al palo 🐑🔥👏
627598363790311424***,***Quiero tutitooooo rico 😓
627598284228575232***,***Aun no llega la familia y ya quiero que se vayan 😭
627585853997608960***,***"Yo siempre estare ahi" jajaja blwww 😭
627584311965974532***,***En la torta de mi mama hay minions 😭 yo tambien quieroooooo
627535257332514821***,***Justamente ahora irrumpes en mi vida con tu cuerpo exactos y ojos de asesina 🐯
627533230917480450***,***Ultimo sabado y lo unico que quiero es dormir jjajaja
627532865396457472***,***Y seguir ordenando para la comida familiarrsssss por el cumpleanos 😭
627532773151141892***,***Mi comienzo de dia como el pecoo menos mal pille mi cargador ❤😓
627393009689214976***,***Se que estoy puro webeando, pero me encanta el csm 😣
627174997413523456***,***Ella no buscaba cuentos con final feliz, sino ser feliz sin tanto cuento 👌🏻
627170062374465536***,***RT @PedritoEngel: #Capricornio tranquilidad ante todo, confie en sus amigos y vealos mas seguido. Alegria y ponceo 💙
627169835710083072***,***😏 http://t.co/NACytrF0hR
627148761811193856***,***De los mil amores que tendras en la vida,solo hay uno bueno que te marca, que se clava tan fuerte que no hay manera de sacarlo de ti ...
626853337741295616***,***No es un yo tambien , se dice yo mas pu 😓 http://t.co/8EEpqUdmeZ
626852638634721280***,***Dth es jajajaja
626795181417885696***,***RT @FraseDeSarcasmo: Ser malo es una necesidad, no una opcion.
626788964515459073***,***Amigas en camino 😱❤
626773566499983360***,***Yo y mis suenos ...
626582463360466944***,***RT @Kel_Reactions: no hice cacerolazo porque no encontre cacerolas en mi casa… mi nana sabe donde estan. sorry rotos!
626582235114811392***,***Tomame como tequila ayuyy
626572012467683328***,***RT @consstla: Seba ven a prepararme pizzas
626568690092371968***,***Esos amiguitos valen la pena 😏
626568636904423424***,***😏 por fin ctm !!
626440782967406592***,***Maje algun dia seas tu quien yo ame 🎶
626440502779510784***,***Y esperar que seas tu el quien yo ame
626440447800528896***,***Tan confiados de la eternidad .... Confundidos al amar ... Olvidamos respirar y aceptamos todo .... Y esperarrrr cansado de tanto llorarte
626440017162948608***,***Hoy dejo de llover  sabes es la senal de mirarnos por siempre y caminar 🎶😍
626439778431594496***,***Mirarte a los ojos y bailar 🎶
626439728263503873***,***Y puede ser nuestra senal 🎶
626439652795371520***,***Si tu me hablas de Marte ... Tal vez yo vuele hacia alla 🎶
626439459123404800***,***Te sientes mejor? Te paso a buscar y hablamos de amor ... 🎶🍃
626431896755544064***,***Exito para mis jueves 😓
626419992515506176***,***http://t.co/LT87qfgCTK
626409363364802561***,***Te odio http://t.co/3m4gPcnHb0
626377954931671040***,***Quiero pan con palta 😍
626375325841108992***,***Se me cae el portal 😭
626280210174996480***,***Entrando en panico 🌚
626257409762304000***,***RT @UnDislexico: — Te amo.—Aww, yo tambien te amo.— Demuestralo.—... http://t.co/jm7pewiiFq
626257116744052736***,***Quiero sushi 😞
626252061508771840***,***RT @nicolasalvial: de que sirve que lo beses a el, si tu mente esta pensando en mi
626247079103492096***,***A dormir con mi ratitaaa http://t.co/MsYoKXaDoF
626242580720824320***,***Quiero llegar a dormir con mi cloe
626238457707409408***,***RT @JelvinBEBO: http://t.co/ONDLU1VamY
626237535388344320***,***Me gustaria ser fuerte 😭pero no puedo .... La carne es debil ctm
626236036818018304***,***RT @YolandaSultanaH: CAPRICORNIO: Evite que el desanimo pueda afectar la busqueda de una nueva pareja. Evite las tensiones fuertes. Analiza…
626228288583823360***,***Cargar en el casino 👏 lo mejor que se les ocurrio http://t.co/00S3iuKtod
626207513785028608***,***A mis papas le carga el casino 😭
626207460655800320***,***En el casino con un dolor de estomago 😭
626203792174882816***,***@consstla fdw jajajajajja
626198824197951488***,***Yo sin ti y tu sin mi 😔 nqvvv venga mi amor!
626197583946510336***,***Voy a vomitar ceviche 😭
626197306367438848***,***😭😭 reventando 🐖
626182223977443328***,***A cenar ctm buta que soy gorda
626177691826417664***,***Me complica esto de tomar ramos 😭
626176492498755585***,***Mi hermano no es tan bestia 😍🎉 me hizo 11cita ❤
626174893416161280***,***Manana levantarme temprano va a ser una travesia
626105296713289728***,***"Ser fome es no querer cuando tu quieres ?" Jajjaa sin hueasssssss
