671184150599237633***,***Hugo se hace mayor dia a dia 😱 #parenting https://t.co/ueSKtI2aUP
660556209074921472***,***YA ESTA AQUI EL DIRECTO ESPECIAL 9.000 SUSCRIPTORES CON AMIGOS! https://t.co/I5UmYMsSnY
660555986294325248***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/0pcOXRgzxb ESPECIAL 9.000 SUSCRIPTORES ┋PREGUNTAS Y RESPUESTAS
660547938494476288***,***@Cress_HD Great!!!!
660546578277535744***,***@RocionNicole Gracias, de verdad!
660546540814012416***,***RT @RocionNicole: @GranAntuan Felicidades te lo mereces mucho
660517524933472256***,***Ya somos + de 9.000 suscriptores! Gracias a todos! Para celebrarlo voy a hacer un preguntas y respuestas en directo en un rato en YouTube :)
660293272783355905***,***@Cress_HD muy chulo!
660293229531652097***,***RT @Cress_HD: @GranAntuan  Surprise !! :P https://t.co/F8PEl46SEw
660266907472293888***,***@Cress_HD OMG! Y yo de fiesta por ahi!!!! https://t.co/V6ksgTTl5n
660258991038005248***,***RT @kikiki_mendez: Me ha gustado un video de @YouTube de @granantuan (https://t.co/ttN1f9QnVo  - OUTLAST).
660237039128834048***,***RT @jean_paul_amaut: Me ha gustado un video de @YouTube de @granantuan (https://t.co/fUpHpjofd9 - OUTLAST).
660226573463752704***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Outlast)  live at https://t.co/pG5prhPz6n
660205729974870016***,***RT @XDimitriCraft: Mira lo que he encontrado @GranAntuan https://t.co/16YVUT7O9y
660204404654473216***,***@XDimitriCraft Mi mascota!!!!
660204263566503936***,***RT @DLobitoxtremox: Me gusto un video de @YouTube de @granantuan https://t.co/2fYwWgBHge EL JARABE DE LA MUERTE ┋ASSASSINS CREED SYNDICATE …
660138738635304960***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/CHpTtmxk4J
660121901184905216***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (https://t.co/yfnjQLVgfM - HERMANO ENANO SALE DE FUTBOL).
659930888386383872***,***@NahuStb un abrazo! Luego se queda colgado en el canal 😊
659901718423977984***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Grand Theft Auto V)  live at https://t.co/3p3RWqrYgh
659896831204302848***,***HERMANO ENANO SALE DE FUTBOL Y PIDE UN DIRECTO DE #GTAVhttps://t.co/CrGyiGHQjS
659880336306761728***,***@DiegoIraira Todos los dias hago directos. Si estas suscrito en YouTube te avisa y aqui te deja el link 😊
659863607635656704***,***DESEANDO JUGAR EL NUEVO #OUTLAST! https://t.co/9y2n2girIR
659862726513160192***,***NO OS PERDAIS EL FINAL DEL EPISODIO 2 DE #MINECRAFT #STORYMODE! EPICA BATALLA FINAL CONTRA IVOR! https://t.co/smugch3jqT
659840515030945796***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft Story Mode)  live at https://t.co/ffaRBU8KDb
659837548764770304***,***DIRECTO DE #MINECRAFT STORY MODE EP. 2 EN 5 MINUTOS EN MI CANAL DE YOUTUBE! :)
659827169263116288***,***@AleOtaku9 Markiplier! :)
659812083945500672***,***#CosasDeSolteros Quedarse hasta las tantas de la noche viendo Gamers hacer Directos en YouTube :) https://t.co/1GbYpvTpFX
659605336366690304***,***Para #Halloween quiero disfrazarme de macarra 😱 #diary https://t.co/CMYXDpbAIG https://t.co/BP1OcEBV3Q
659553468508602368***,***RT @julianosorio191: Me gusto un video de @YouTube de @granantuan https://t.co/Lf5svCCB7S Hermano Enano se prepara para Halloween
659532430542434304***,***Hermano Enano se prepara para #Halloween  https://t.co/DWSFFh2yfx
659503459302002689***,***No te pierdas esta video!!! https://t.co/aQFO00Iubp
659483149785698304***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft Story Mode)  live at https://t.co/fpNeCE96D0
659476981772193792***,***Ya he encontrado #LaMujerPerfecta Es Evie Frye! #ACSyndicate
659459269348229121***,***Una pasada la primera mision con la chica en #ACSyndicate #AssasinsCreed Gracias por votar en Twitter! https://t.co/bwIZOBJiFm
659404956907114496***,***Voy a hacer un directo en 20 minutos. De que juego lo  hago?
659199341920391168***,***EL VIDEO DE #GTAV #LOWRIDERS QUE TODOS ESTABAIS ESPERANDO :) https://t.co/GX3VyHt8Ru
659195317347205120***,***#TantaGenteEnTuiter a la que aun no le he contado por que me mude de Espana a Los Angeles. Este video lo explica :) https://t.co/ro4REWDQnf
659193973248933888***,***@xilorex_tex Saludos, amigo! Saludos de Hermano Enano!
659193899483721729***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/PWhWZhVUAM GTAV
659177982808817664***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Grand Theft Auto V)  live at https://t.co/6iCAtqo2l4
659137909006671873***,***GRANANTUAN EN LOS ENSAYOS DEL MUSICAL DE SU HIJA :) https://t.co/48IEpWLS47
659014209317924864***,***@bellaco_l gracias!!!
659014156364832768***,***RT @bellaco_l: Y ustedes que espera para suscribirse al canal de @GranAntuan @GranAntuanVlogs 10k suscriptores en camino https://t.co/EWNJX…
659013255294115840***,***RT @Ryotaro61_Games: Empezamos un bonito viaje con JOURNEY | LET'S PLAY EN ESPANOL | Ep 1   Empieza el Viaje https://t.co/pS0sLfv05s
658905260124041216***,***RT @OlgayAntuan_YT: Manana subimos video nuevo, mientras tanto aqui os dejo uno de mis preferidos:) si te gusta RT😉gracias! https://t.co/Hs…
658902786659233792***,***MISION DE CAZARRECOMPENSA EN #ACSYNDICATE :) ME TIENE ENGANCHADO ESTE JUEGO! https://t.co/WmUIDyr6Co
658887734069587968***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/2smYFpksja
658884163064365058***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/tnxHiDXCxn
658810074144600064***,***#Sunset #SanDiego #Skyline 🌘 #diary https://t.co/4VPxuRTewN https://t.co/FReyBzHDkg
658797707373350912***,***#YoQuiero estar siempre con estos dos grandes amigos... #GTAV #TheLastOfUs https://t.co/JPfdWrB1tR
658775235462721536***,***#QueLindoEsoDe tener los mejores sucriptores del mundo en un directo...https://t.co/rX5gAZcjKE
658774955761381376***,***RT @AleOtaku9: @GranAntuan Que verguenza no te seguia por Twitter O.O Ahora si!
658757977353007104***,***@Aaron_Manjon Hola, tengo que investigar para ver como aceptarte otra vez. No me dejaba. SOrry!
658757858364755968***,***RT @Aaron_Manjon: @GranAntuan estoy viendo todos tus directos :'(
658717944344543232***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (The Vanishing of Ethan Carter)  live at https://t.co/mICie5CUZc
658710613288292352***,***@davidelpaisa69 En 10 minutos :)
658709345081950209***,***El nuevo pelo de HermanoEnano #California style 😊 #diary https://t.co/FR3tlv1Llq https://t.co/D7yu7CwITn
658705822210371584***,***@EmilianoOcana Lo aviso por aqui y por Facebook :)
658700869957849089***,***¿Alguna sugerencia para el #Directo de hoy? Os dejo el de ayer :) https://t.co/qonrDgAVos
658693430248255488***,***#MeMueroPor jugar ya a #CODBO3 La Beta la jugue es Espana y ta lo preordenado en USA! https://t.co/NKOBn4BUY2
658684947599781888***,***Nuevo #banner para #twitter #facebook y #youtube RT si os gusta!!!! :) https://t.co/OedCHcCXtx
658681109673185280***,***#DeberiaEstarDeModa que los #Hipster dejaran de estar de moda 😹
658679192486219776***,***@Cade_YT Si lo haces tienes companero de batallas...
658663168126771200***,***De que os vais a disfrazar en #Halloween? Aqui mi disfraz https://t.co/qZHLSegotf
658654394355859459***,***#FreeBacon La Organizacion Mundial de la Salud solo dejara comer bacon si es jugando a videojuegos! https://t.co/qzTDhBmDuS
658652236269006848***,***@Aaron_Manjon No te preocupes. Un saludo.
658649115518046208***,***RT @FelixElNoob: Bueno aqui esta el video informativo https://t.co/tywstGWJLw de verdad, deben verlo.
658640577970356225***,***@danichiky051 Gracias TejadaDaniela, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640576225501184***,***@HInhabilis Gracias Homo, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640573981593600***,***@Ruben_ortega86 Gracias Ruben, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640571859243008***,***@Salseo_Youtuber Gracias Salseo, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640570135392260***,***@nicoescobarm Gracias Nicolas, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640568449236993***,***@lindyaguirre011 Gracias lindyaguirre01, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658640566717034497***,***@joaquinbraian1 Gracias braian, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658623735298023424***,***@LordWalkthrough Gracias LOWGames, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658607537650987008***,***@Max28bcn Gracias Max, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658575456615075841***,***@saravan12290625 Gracias saravana, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658575454945734656***,***@konatea3 Gracias konate, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658575451799982081***,***@SonyPSFans Gracias PlayStation, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558672604295168***,***@DanshinTV Gracias Danny, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558670439976960***,***@mrgodhd1 Gracias MrGodHD, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558668590313472***,***@Proudnothingg Gracias ProudNothing, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558666883239936***,***@neuronball_es Gracias neuronball_es, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558665184534528***,***@mr_wabbitt Gracias Mr., GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558663158697984***,***@bellotero69 Gracias Alberto⚠, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558661443227648***,***@allaroundgamerx Gracias quinn, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658558659748761600***,***@bigbestapps Gracias Bigbestapps, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658528995990831105***,***#FelizLunes para los que ya es lunes. Yo me despido del domingo desde California con un poco de #Halloween https://t.co/qonrDgAVos
658527757618442240***,***#NecesitariaUrgenteQue alguien me dijera si compro #BlackOps3 o #StarWarsBattlefront para subirlo al canal! :)
658526712766922752***,***#MexicoTieneTalento para los YouTubers! Estoy descubriendo algunos buenisimos!
658525948501819392***,***@DanyMGamer Gracias DanyMGamer, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525946727677953***,***@Angelin61447738 Gracias Angelinawong, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525944575954944***,***@alejand95632352 Gracias sergio, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525942835384320***,***@SwiFt_Chromez Gracias Steven, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525940855648256***,***@maladavena Gracias Davenaa, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525938871758848***,***@karenni52825436 Gracias Jenkin, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525936430649344***,***@tuly_gomez Gracias Tuly, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658525934673260544***,***@SkyPs4Gamer Gracias Sky, GranAntuan te saluda! Nos vemos en los Directos en #YouTube 😃
658493171031080960***,***@freepsncodes01 Gracias PSN, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493168875237376***,***@ImpactEsports1 Gracias Recruiting, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493166480289792***,***@blackops3hypee2 Gracias Black, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493164316069888***,***@CostaIari Gracias iaritaCosta, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493162298544128***,***@GranAntuanGames Gracias GranAntuan, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493160151056384***,***@enriquemovie Gracias enriquemovie, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493158460751873***,***@nicokrapa Gracias Nicolas, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493156317499392***,***@andresitoelmasb Gracias Sergio, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493154509754368***,***@GameHighGeekly Gracias Game, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493152685223937***,***@MisterGiordi Gracias Mister, nos vemos en los Directos de GranAntuan en #YouTube 😃
658493150898458624***,***@piili_gelp Gracias Piili, nos vemos en los Directos de GranAntuan en #YouTube 😃
658462823425536000***,***@225_508 no se. En ps4 son 59 dolares
658460409649696768***,***@IVANCHO2222 Gracias Ivan, nos vemos en los Directos de GranAntuan en #YouTube 😃
658460407900717056***,***@ArielArjona3 Gracias Ariel, nos vemos en los Directos de GranAntuan en #YouTube 😃
658460406055239680***,***@GlightKnight Gracias bgsdeiwdbeqwcdqu, nos vemos en los Directos de GranAntuan en #YouTube 😃
658460404054515712***,***@yaxiryGalicia Gracias adilene, nos vemos en los Directos de GranAntuan en #YouTube 😃
658460402351640577***,***@panchitadndim Gracias Pachita, nos vemos en los Directos de GranAntuan en #YouTube 😃
658456949097414656***,***el nuevo assassins creed es una gozada! #acsyndicate https://t.co/UsGMLemaKZ
658444595584331776***,***@cata8822 Gracias Catalina, nos vemos en los Directos de GranAntuan en #YouTube 😃
658444593839509504***,***@RafaMBTrollFail Gracias NoobasFrag, nos vemos en los Directos de GranAntuan en #YouTube 😃
658442578405269504***,***#MINECRAFT #HALLOWEEN EN #PS4 CON SUSCRIPTORRES. FIESTA TOTAL! https://t.co/qonrDgSwN2
658427671022452736***,***@Hannia251 Gracias Hannia, nos vemos en los Directos de GranAntuan en #YouTube 😃
658427669273407488***,***@thesolitaryshe1 Gracias Cammy, nos vemos en los Directos de GranAntuan en #YouTube 😃
658427667092545540***,***@rosh_rodriguez1 Gracias rosh, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411318710431744***,***@Emmanue72135453 Gracias Emmanuel, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411316986515457***,***@LizethD22296236 Gracias Lizeth, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411315300401153***,***@cabj_mariano1 Gracias mariano, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411313572413440***,***@victor_macay Gracias victor, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411311785603072***,***@argaarcia Gracias jake, nos vemos en los Directos de GranAntuan en #YouTube 😃
658411310011420676***,***@Juliand_fierro Gracias Julian, nos vemos en los Directos de GranAntuan en #YouTube 😃
658395039396003840***,***@AxelRojasSegur1 Gracias Axel, nos vemos en los Directos de GranAntuan en #YouTube 😃
658395037407973377***,***@D87UyVBoA21UEWT Gracias alejandro, nos vemos en los Directos de GranAntuan en #YouTube 😃
658362443106652160***,***@JfLuiiz Gracias Luiiz, nos vemos en los Directos de GranAntuan en #YouTube 😃
658362441261191168***,***@DianaGarcia097 Gracias Diana, nos vemos en los Directos de GranAntuan en #YouTube 😃
658352277082673152***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/LVc8Q99FpZ
658348702826930176***,***DIRECTO EN 5 MINUTOS EN YOUTUBE. ESPECIAL #HALLOWEEN :) HABRAS MUCHOS MAS!
658329709634195456***,***@BastianSilvaP13 Gracias Bastian, nos vemos en los Directos de GranAntuan en #YouTube 😃
658329707931275264***,***@aguibla41 Gracias Gustavo, nos vemos en los Directos de GranAntuan en #YouTube 😃
658293915229949952***,***Hola! Siganme tb en @GranAntuanGames Mi partner me ha pedido una cuenta para negocios que es esta y otra para suscriptores. Mas personal!
658161777314676736***,***RT @kikiki_mendez: Me ha gustado un video de @YouTube de @granantuan (https://t.co/S6uLCGiYA8  - ASSASSINS CREED SYNDICATE #3).
658130747400687616***,***@augustoarce83 YO tambien lo disfrute. A palabras necias oidos sordos. La mayoria de los que asistis a los directos sois estupendos!
658130639477063680***,***RT @augustoarce83: @GranAntuan me gusto mucho el directo, lastima por los insultos pero me encanto el directo
658130499773136896***,***RT @sebi_artiles: Me gusto un video de @YouTube de @granantuan https://t.co/AyYdz1k9Mq ASSASSINS CREED SYNDICATE #3
658130435214454784***,***@andrea_lamoza A mi me gustan mucho todo tipo de juegos y Minecraft, si le pillas el punto, es espectacular :) Un saludo!
658130313080471552***,***RT @Geral777Gomez: Me gusto un video de @YouTube de @granantuan https://t.co/EcSD9aaNSq MINECRAFT NUEVO MAPA
658130202178928644***,***RT @ejtgpty: Me ha gustado un video de @YouTube de @granantuan (https://t.co/fK4GmI06FU - ASSASSINS CREED SYNDICATE #3).
658113342934880256***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/bjsmjUMvEJ
658094128807346176***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Minecraft: PlayStation®4 Edition)  live at https://t.co/23FeSNfQkG
658093493705920512***,***DIRECTO EN 5 MINUTOS! #MINECRAFT NUEVO MAPA!
658019788543905792***,***Hugo #red and #blue #graffiti in #SanDiego thanks to #Blick https://t.co/CZbBWBb35N
657970923157495808***,***Olga acaba de tomarse un cafe 😊 @ Cafe 1134 https://t.co/vnElDP8p22
657925176789749760***,***Sentaos en ese banco que os hago una foto. https://t.co/fr0S2ECIPn
657769945607094272***,***AMIGOS! MANANA SIGO CON LOS DIRECTOS. HOY HE HECHO 3 Y ME VOY A LA CAMA :) SI ME DESPIERTO AVISO! OS QUIERO!
657745156800581632***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Grand Theft Auto V)  live at https://t.co/LkCSDSGITF
657741489246568448***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Grand Theft Auto V)  live at https://t.co/uo6cP6ZmZF
657740426959593476***,***GRANANTUAN Y HERMANO ENANO ESTRENAN NUEVO DLC DE #GTAV EN DIRECTO EN 5 MINUTOS #LOWRIDERS
657712496485097472***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/5bP6kTdnpL
657710645467566081***,***DIRECTO DE #ACSYNDICATE EN 5 MINUTOS!
657634698106155008***,***NUEVO VLOG SUPER INTERESANTE SOBRE EL #MACHISMO DE #OLGAYANTUAN RT PARA UN MUNDO MEJOR! https://t.co/prvjBGcL62
657616353688334336***,***¡Mira la transmision de mi PlayStation®4! #PS4live (Until Dawn™)  live at https://t.co/Nab0AAs5DO
657614127968337920***,***EN 5 MINUTOS DIRECTO DEL ULTIMO EPISODIO DE #UNTILDAWN CON HERMANO ENANO! IMPERDIBLE!
657557683621482496***,***ESTRENO MUNDIAL DE #ACSYNDICATE #ASSASSINSCREEDSYNDICATE PEDAZO DE JUEGAZO! https://t.co/onPxeP7kTJ
657412047836057600***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Assassin's Creed® Syndicate)  live at https://t.co/k512Xbsd9I
657402609737707520***,***RT @ejtgpty: Me ha gustado un video de @YouTube de @granantuan (https://t.co/WlB4nDFgPZ - Until Dawn Ep.8).
657342434167263232***,***¡Mira la transmision de mi PlayStation®4! #PS4live (Until Dawn™)  live at https://t.co/H0X43Mi2hk
657339613514760192***,***OTRA VE EN DIRECTO EN 5 MINUTOS CON HERMANO ENANO EN #YOUTUBE! #UNTILDAWN!
657294309981601794***,***GRANANTUAN Y SU FAMILIA SE PREPARAN PARA #HALLOWEEN!!!! SOMOS LA FMAILIA MONSTER! https://t.co/6Rozja77tU RT SI DA RISA. FAV SI DA MIEDO.
657280722030436356***,***#UNTILDAWN CON HERMANO ENANO Y MASCARAS DE #HALLOWEEN EN DIRECTO! https://t.co/FcFdLy86Iy
657234101749944324***,***¡Mira la transmision de mi PlayStation®4! #PS4live (Until Dawn™)  live at https://t.co/VaDY5dH3Oi
657232853835628544***,***DIRECTO CON GRANANTUAN Y HERMANO ENANO EN 5 MINUTOS! #UNTILDAWN
657018383804813312***,***Hugo probando distintas opciones para #Halloween https://t.co/KUDKmtLU17
657017881465614337***,***#Halloween is coming... https://t.co/uAYxPWHYTj
656920770606710785***,***FINAL EPICO DE LIFE IS STRANGE CON FINAL SORPRESA!: https://t.co/VLA7qOsmi4 via @YouTube
656891819255447552***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/KcxDoK5Wc3
656889635713499136***,***#UNBOXING SORPRESA! https://t.co/WdXUs1yLuC
656886794147995648***,***DIRECTO DE #LIFEISSTRANGE EN 10 MINUTOS! CONTINUA EL FINAL EPICO DE LA SERIE!!!
656655323445534724***,***ESTRENO DEL EPISODIO 5 DE LIFE IS STRANGE: https://t.co/hfCm0HhpIJ via @YouTube
656640092685991937***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/gDzfBld0Ia
656635371430813696***,***Directo de #LifeisStrange en 10 minutos!
656622887705559043***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/P1REbLcQEx Life is Strange Ep.5
656576173040775168***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/BvzyjawqmP
656574825066946560***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/X6ZQqafrmF
656572390768427008***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/gdIqzmLJcq
656570673813258240***,***¡Echa un vistazo a mi transmision desde mi PlayStation®4! #PS4live (Life Is Strange™)  live at https://t.co/uczjwHgE0t
656567800648069120***,***En 5 minutos hago directo en YouTube del nuevo capitulo de #LifeisStrange!
656517767802322944***,***¿SABEIS LO QUE SON LOS PADRES HELICOPTERO? ¿Y LAS MADRES DRONES? NO OS PERDAIS ESTE PINCHE VIDEO! https://t.co/lJzCtZ0LWH
656291066325237760***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan https://t.co/OY7CEEg4al Until Dawn
656211421361901568***,***Join me on HelloFax. It's the easiest way to sign and send documents online - https://t.co/SiXhG2898p
656159055325454336***,***GranAntuan en Directo con Until Dawn https://t.co/9ASnZtJqMK via @YouTube
656109451427127296***,***PREGUNTAS Y RESPUESTAS AL FINAL DE ESTE VIDEO DE #MINECRAFT #STORYMODE! :) https://t.co/eS08VfwNW0
655933577578704896***,***RT @lauxx44: Me ha gustado un video de @YouTube de @granantuan (http://t.co/vDl82ERJYr - MINECRAFT STORY MODE ┋¡EL ESTRENO!).
655811161527558145***,***HERMANO ENANO EN EL CALABOZO DE LA POLICIA! http://t.co/kMmT6t76G9
655585914547236864***,***Marina estrena #BatBoy #musicaltheatre ❤❤❤ https://t.co/U4H5AbtWmR
655563235630915584***,***Marina en el estreno de #BatBoy #musicaltheatre ❤❤❤ https://t.co/U4H5AbtWmR
655218474826858496***,***@ARATHFIVE estamos en el Fall Festival vestidos de cowboys 😊. Un abrazo!
655157978077773824***,***Marina con su Violonchelo 😊 #tbt https://t.co/tev6UbiQa2
655099175198138369***,***Guerra entre Olga y Antuan en torno al #Arte :) http://t.co/hYzCk2nuCX
654867345333231617***,***Just posted a photo https://t.co/pxw8INSh7k
654714461152940033***,***Todo canal tiene un ultimo video. Este es el ultimo video de #OlgayAntuan... http://t.co/NNkNh08RI3
654687389944709124***,***#Minions vs #Minecraft #Unboxing #Toys :) http://t.co/H7DPdyTGuB
654660892445900800***,***Hugo del #RealMadrid a 12000 km del Bernabeu 😊 https://t.co/VDn18WaCTj
654472479017160706***,***Si os gustan los sobres sorpresa de #Minion y #Minecraft :) http://t.co/mOV473k63U
654119251255672833***,***#lego https://t.co/AAPsDmdbG9
654027728727998464***,***Olga de bajon en USA :( http://t.co/wtL3j0PDSW
653745082110222336***,***Hugo con #Penny en #California #Sunset https://t.co/i1TK1T1IBo
653726390500524032***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan http://t.co/AaD2bUiWfk Star Wars Battlefront ┋Directo en YouTube
653637540570906626***,***Llegada de Hugo a America #columbusday https://t.co/yL81dwvb2A
653458257353142273***,***RT @Darksus78: Me gusto un video de @YouTube de @granantuan http://t.co/3IBg40yImb CAGADOS DEL MIEDO ┋UNTIL DAWN #5
653082395407708161***,***Es hora de salir corriendo... #UntilDawn http://t.co/HKUrPOxJir
653041809917124608***,***#Halloween se acerca 😊 @ Fashion Valley https://t.co/ni13ar2wbP
652964258494480384***,***Cagado de #miedoen el nuevo video de #UntilDawn :) http://t.co/k7zz1RoPKb
652946563895947264***,***RT @gatonegro06fede: Me gusto un video de @YouTube de @granantuan http://t.co/uJTBZ3QRfg ¿PODRIA SER LA CASA DE VEGETTA ? ┋VLOG EN LOS ANGE…
652674402992148480***,***Just posted a photo https://t.co/Runp6HuIVf
652586489428201472***,***GRANANTUAN SE SACA EL CARNE DE CONDUCIR EN USA! http://t.co/I3ueIsmVDT
652558891826475011***,***Enamorado del arte callejero 😊 #graffiti @ Full CIrcle Tattoo https://t.co/Uiuh9mRKOd
652554958152290304***,***Un poquito de la Beta de #StarWars #Battlefront Epic Fail! http://t.co/RYEyzVsT0u
652518576889458689***,***Star Wars Battlefront ┋Directo en YouTube: http://t.co/Zeg9M2W3ns via @YouTube
652513244347633664***,***RT @ChrisWa112: Retweeted Jameskelly (@Jamesdotkelly):And Texas introducing law to make guns on campus available. America is... http://t.…
652512725667479552***,***RT @StrilGame: Me gusto un video de @YouTube de @granantuan http://t.co/Lg8R0EsuDP DUELO A MUERTE CON ORYX ┋EL REY DE LOS POSEIDOS #FINAL
652512650945957889***,***@luisipop777 ojala
652512475510759424***,***RT @puntoespecifico: Me ha gustado un video de @YouTube de @granantuan (http://t.co/gSJxYOt68H - Star Wars).
652512429537005568***,***RT @ArmadaDTRON: Me gusto un video de @YouTube de @granantuan http://t.co/zFlsFvhUac COMO SUBIR A NIVEL 25 EN DESTINY EL REY DE LOS POSEIDOS
652290391157243904***,***RT @gatonegro06fede: Me gusto un video de @YouTube de @granantuan http://t.co/jIW1q6xhvt EL NINO DEL CEMENTERIO ┋ETHAN CARTER #2
652225834980347904***,***Duelo a muerte con #Oryx ¿Quien quedara en pie? #ElReydelosPoseidos #Destiny RT si sois galacticos! http://t.co/4kcWwTQKZN
652198535732023296***,***Nos convertimos en #Cowboys en este nuevo video!!! http://t.co/r8QPReD7XJ
652162824496508928***,***¿Os gustaria estudiar en Estados Unidos? :) Aqui os dejo un Vlog con mi experiencia! http://t.co/TPufbMLqFX
651822002702053379***,***Nuevo #Vlog sobre el colegio de Hermano Enano en USA! RT si os gustaria estudiar en USA! http://t.co/DkEeAsrDEP
651787194378682368***,***#Lanzarote #tbt2006 @ Lanzarote https://t.co/4QiMHlxjsV
651544005222666240***,***@goka7g si. Viene con la capturadora
651538830562988032***,***Seguid mis directos en #periscope :) http://t.co/uWqADI3FhG
651534516562055169***,***Headless #elephant https://t.co/4cnBEfXVIS
651526325119807488***,***@goka7g elgato capturehd
651502207498452993***,***RT @StrilGame: Me gusto un video de @YouTube de @granantuan http://t.co/jkfeWXVu8b SUSTOS CON HERMANO ENANO ┋UNTIL DAWN #4
651502189307817984***,***@goka7g elgato hd60 😊
651494294176579585***,***Dejarse llevar. Yo soy fatal para eso 😳 https://t.co/fUefwTuABf
651416310728032256***,***Escaner #Airport https://t.co/VPWIdO7Un7
