671183772189106177***,***She and her face😀And I always smiling and cacheton😀😁 lol #Day #Relax… https://t.co/kl1AWXvP66
578393786893500417***,***RT @JElMago504: @_RichardMachado Mi Tema de verano espero sea de su agrado..!!!! https://t.co/tgsMJTVkur … …Descarga : http://t.co/DIP4Ev…
578393768765747201***,***@JElMago504 cuenta con mi apoyo hermano saludos
577933293372342272***,***RT @FarrukoPR: http://t.co/kAtAJXyQPC
577930347972673536***,***RT @cantanterichard: "Veras el milagro cuando lo creas en el corazon y lo declares  con tu boca, hay poder en Jesus."
577279973590970368***,***RT @jcoyuela: Moriras como hayas vivido - Etica y sociedad http://t.co/ZloM2h7MIS @qualiummx @padrenestor1945 @garciafix @_RichardMachado @…
576888430560436224***,***Acabo de publicar una foto https://t.co/7HV9DXiYVf
576887893257515008***,***Acabo de publicar una foto https://t.co/uBThc8NnEp
576458371051581440***,***La personas de buen corazon y las menos esperadas son las que se van mas rapido en nuestra… https://t.co/TM2nRdk5RW
576204309693652992***,***Descansa en paz Tio Armando😔 https://t.co/lkTHtggRzU
576095201766289409***,***With My #CousinSis #Nelsie❤but I leave everything ugly and she so beautiful it is but hey how… https://t.co/5nl7m2kxzD
576081261652922369***,***😔deseo que todo esto fuera un drama Tio en verdad te recordare como uno de los tios que mas quise en… https://t.co/HVdmcqFK6I
575048349264519168***,***RT @ImpactoActual: 20 senales que te haran pensar que es el amor de tu vida.¿Es amor verdadero? Lee aqui -&gt; http://t.co/Tey1bmDisk http:/…
575031675614142464***,***RT @Z_o_d_i_a_c_o: #LEO: te pueden envidiar porque tienes carisma y orgullo, y porque sabes lo que vales y es casi imposible que nadie te h…
574700738028290048***,***RT @AmyDPictures: Happy International Women's Day! "Women are Gods finest and most beautiful creation, without whom no creation is possible…
574643199404306433***,***RT @machadooficial: Saturday night! A disfrutar con buenos amigos! Sean felices los amo @MaliciaAM 🌹😘😘🍷❤💋
574643178600595456***,***RT @machadooficial: Que bendicion es ser mujer no me cambio por ninguna! Es un reto lograr la felicidad y La Paz en medio del proceso! http…
574642885364219905***,***RT @PrensaMCM: @MariaCorinaYA junto a @orozcorosam encabeza marcha de mujeres en Caracas contra resolucion 8610 #NoALa8610 #8M http://t.co/…
574364888643993600***,***Deseo volver ese tiempo en que pasaba feliz😔no deje que nadie los subestime👍💪#FelizSabado😄 https://t.co/S4t42RSlAY
574339161030717440***,***RT @FarrukoPR: http://t.co/ysO9EJLcqP
574278824747126785***,***RT @jcoyuela: @_RichardMachado Gracias.
574278100407582720***,***@jcoyuela saludos amigo espero que se encuentre bien de salud ud y su familia bendiciones Feliz Sabado😄
574277836174811136***,***RT @jcoyuela: Alfonso y Taular - Etica y sociedad http://t.co/S3eqB3rHMQ @sbinefa @_RichardMachado @luizfernandocos @Joletteoficial @RaulBe…
574071514980564992***,***Feliz noche mi gente aunque salgo todo raro en la foto😭pero siempre recordandome de mi gente se les… https://t.co/woKH3GylcU
574010871434715137***,***Aqui con la chinita❤te quiero gracias por tu amistad😘 https://t.co/6Zdyew2YFH
573983897660186624***,***RT @JaySmoove079: @_RichardMachado http://t.co/13tyO1K7f1
573980110052810752***,***Ir a tu casa y al saber que no estas😔 me parte el alma. Durante fui tu amigo te respete y te quise y… https://t.co/rKiJo70S6p
573979935326367745***,***RT @FreshKevEasy: @_RichardMachado New! "Somalia" 🔥https://t.co/apIajR0Yt9
573584746971820032***,***RT @pitbull: nos vemos en la noche Honduras #dale
573584519296610304***,***RT @FreshKevEasy: @_RichardMachado The draft pick!! 🔥https://t.co/FhcP6RNEtG
573584498543226881***,***RT @jcoyuela: Cultura y fascismo - Etica y sociedad http://t.co/fFjJArydSH @_RichardMachado @luizfernandocos @Joletteoficial @RaulBenoit @F…
573584345283358720***,***RT @HondurasAHORA: Llegada de @pitbull al aeropuerto #Toncontin hoy se presentara en concierto en la capital #Honduras http://t.co/KLYdcNpx…
572463879281745920***,***RT @FreshKevEasy: @_RichardMachado NEW!!🔥🔥 "WANNA know me" https://t.co/5BedUeUQv3
572251361368096768***,***RT @FarrukoPR: Sigan viendo el video de mi nuevo tema #LejosDeAqui en mi canal de Vevo o Youtubehttp://t.co/97zNAPvvZd
572248862280306688***,***Moment with #She😘#LoveU❤Sister #IsabellaMachado😍 https://t.co/VufNVwWMbJ
572193414042804224***,***todo raro😭y cansado😔un dia muy duro💪pero valio la pena mi gente.😌 https://t.co/iF9lvKbc3Z
572084223198277632***,***Mi gente feliz domingo😘se les quiere de gratis❤#PD: pues me siento mas #Gordo y #Cacheton… https://t.co/pwxkVM50S2
572019475790233601***,***RT @Earn5000Net3: Hello to our new friends @trappioelite @KobeFromTheTrap @freesermons @Raww_Glizzy @_MrFeature @_RichardMachado via http:/…
571820216306556928***,***RT @reddot360: @_RichardMachado (((New Song alert))) Red-D.O.T ft. Steve Young - Count On Me #HipHopRnBMusic #Share #Download https://t.co/…
571798846856044545***,***RT @IndieFansNY: @_RichardMachado If you LOVE #RockNRoll check out #TightRope #ThatRockBandFromCork http://t.co/GDgPDvzxHw #ArtistsUnited @…
571784801117609984***,***RT @BeatsByNate: @_RichardMachado New beat! - "Chopper" - http://t.co/n0EDVczh2h
571766013198393344***,***RT @FreshKevEasy: @_RichardMachado NEW MUSIC!!! ONLY BUSINESS!!🔥🔥 https://t.co/oBqto29qwv
571749138234134529***,***RT @BrandedHeel: #welcomeTweet @justbreath1778 @DrunkenUncIe @SamanthaCartel @robertxcv88 @_RichardMachado @Raww_Glizzy #NF via http://t.co…
571749125470875648***,***RT @Anastasiamusic7: @_RichardMachado Share @Anastasiamusic1 https://t.co/z2geMJBoYp Anti-bully message http://t.co/a0MTWCVjTp  #StopBullyi…
571706905602760705***,***RT @BordersNorthern: @_RichardMachado you made it! Check our old school roots #newcanadianhiphop http://t.co/KqcfrSVBLZ #newhiphop
571689678874779649***,***RT @FreshKevEasy: @_RichardMachado 🔥YOO CHECK OUT!! "GOT AMMO"’ LIKE AND COMMENT ON SOUND CLOUD #SoundCloud? #np https://t.co/KkhP4qcBi8
571688962215026688***,***RT @Roman088: Hi @ioTiSeguo @_RichardMachado @Spitty_ @idstrans @diamondglo22 Check out our Portfolio on @EnvatoMarket  http://t.co/v77ZLf4…
571688904040050688***,***RT @klarissa_cantu: Follow😝@followerFansON ✌@Spitty_ 😎@_RichardMachado 😊@Raww_Glizzy 😁@Luke_Allen123 😎@TheLuxeDaily 👋
571688762511659009***,***RT @z_amitaf: @_RichardMachado Thanks for following
571688741850517506***,***RT @InfamousLadyD: @_RichardMachado check out 👉 Dont Be Comin Fa Me By Infamous Lady D: http://t.co/LQrFRPc8GP #RETWEET thanx!!!
571535262834020352***,***Pana podemos hablar por dm saludos bro ud es el duro @ogblacksugar
571535007103102976***,***Pana podemos hablar por dm saludos bro @juanfranciscods
571517723605389312***,***Pues todo #Sudao mucho trabajo menos tiempo y tomando un poco de aire con uno de los mios… https://t.co/ZrbTMHC5TZ
571446532693729280***,***Cuerpo de #Fusileros con los #Representantes del Gobierno https://t.co/qi4EphQKu7
571446482815078400***,***Pues todo sudado en el evento del estadio. Gracias mi gente de Mi Bella Tierra Santa Barbara por esas… https://t.co/SturgPX5AE
571446432168873984***,***Esta foto no tenia que faltar aunque salga todo raro jajaja aqui estoy con el Representante del Senor… https://t.co/l1XgasaqU9
571444378939596800***,***RT @RJDaChef: Could Support &amp; Like Or Share This Video? #GreenMoneyMafia http://t.co/u9ppE84knx @_RichardMachado
570307709775552512***,***RT @jcoyuela: http://t.co/nn0JpGX31A @sweetrezidans @RAYO1778 @_RichardMachado @LbaNews @RPMHonduras @teo_tej @victoria310563 @jlopezduron1…
570307694684467202***,***RT @jcoyuela: Da una donacion a Etica y sociedadEtica y sociedad http://t.co/TnEqIQoKDv... @RAYO1778 @_RichardMachado @LbaNews @RPMHonduras…
570307674287550468***,***RT @jcoyuela: @_RichardMachado gracias. Saludos
569976095673593856***,***@jcoyuela siempre mandeme temas nuevos que publique feliz tarde
569976003545726976***,***@jcoyuela saludos hermano me gusta todo lo que publicas en tu web bendiciones
569975290543382528***,***RT @jcoyuela: Las propias convicciones - Etica y sociedad http://t.co/uEAbAuZz5X @RAYO1778 @_RichardMachado @LbaNews @RPMHonduras @teo_tej …
568250321459245056***,***RT @brayanrm1999: @vegetta777  saludos cabron desde honduras siempre bemos tus videos con @_RichardMachado
568249114728595456***,***saludos @vegetta777 siempre estamos pendiente con tus videos con el pana @brayanrm1999
567865994787565568***,***RT @RaulBenoit: Muy buenos articulos los de Juan Carlos Oyuela @jcoyuela gracias por compartirlos // @_RichardMachado @Joletteoficial @Trop…
567865984356376576***,***@jcoyuela @RaulBenoit @Joletteoficial @TropaOriente saludos tambien soy de tu tierra bendiciones
567865901636325376***,***RT @jcoyuela: @RaulBenoit @_RichardMachado @Joletteoficial @TropaOriente Gracias. Saludos desde Honduras
567864957246840832***,***hey cabron estamos activao y ready con tus temas el menor @_richardmachado @farrupr (@FarrukoPR live on http://t.co/sZneAs0R3M)
564598164045709312***,***RT @Ranman18: @_RichardMachado 49 Keys (Vol. 1) is out with 8 exclusive beats to showcase my skills. Listen and Rt Thanks https://t.co/MlaZ…
564598135268593665***,***RT @jcoyuela: @RaulBenoit @_RichardMachado @luizfernandocos Responsabilidad: ventana a la libertad y al amor - Etica y sociedad http://t.co…
564467296958423042***,***#Activo :D http://t.co/hPdgywEYOq
564247387901030401***,***#Suaveton con el #Primo #Vagando http://t.co/2SInqqQCz2
564212869462781952***,***Vacilon con el #Primo #Josue#Primo #Toro #Little #Enano #Relax #Bored #Afternoon #Bless #Fly http://t.co/q6ripohBTP
564204030520750080***,***Hahaha we im old :P http://t.co/HIYD4eaJAj
564203362204536834***,***Mi #GranAmigo Don Catalino Hernandez una tarde con ud lleno de bendiciones y hablando de la palabra de… http://t.co/RljKJ9tzqn
564202876365713408***,***Me da mucha tristeza ver a los #Viejitos en el Asilo. Ya que ellos son abandonados por su propia… http://t.co/SoiLcqfpJN
563885449811595264***,***Hoy #PlanHonduras dio #KitEscolares a las personas mas necesitadas ♥ http://t.co/7vPTllIinW
563885209205366784***,***Just posted a photo http://t.co/Df5xMEWpqx
563884691926048769***,***Ir a una reunion y que te toque esperar mas tiempo :| #MalditaSea http://t.co/8ZOOaAR5MW
562688121532588033***,***RT @BeatsByNate: @_RichardMachado New beat! - "Stunt" - http://t.co/CNcnrAcNIN
562336013159530496***,***Well relaxed with my friend haha @katherin_cast15 :D http://t.co/edpmH8vG8O
562101267678654468***,***RT @Patriots: 20 seconds to go...#DoYourJob #FinishTheJob #SB49 http://t.co/GIDprMe8M0
562101256605696000***,***RT @Patriots: PATRIOTS WIN!! Your New England Patriots are Super Bowl Champions! #FinishedTheJob http://t.co/qJ3t7G20Cc
562101230340960256***,***RT @Patriots: GRONK! http://t.co/C9k5Te18r7
562101229019361281***,***RT @Patriots: World Champions! http://t.co/PJyEirrxJG
562101214956224512***,***RT @Patriots: "What'd I tell you, Mr. Kraft!" -@wilfork75 http://t.co/xeE0UUKd7k
562101209931476992***,***RT @Patriots: Proud of these guys. #FinishedTheJob http://t.co/LuaEMNUhJY
562101203937787904***,***RT @Patriots: Your Super Bowl XLIX MVP: http://t.co/RHQX5rcd3N
562101176217632769***,***RT @Patriots: LaFell's son wants to take over this interview... http://t.co/YwuNpvw5xC
562101174619607041***,***RT @Patriots: Vince speaking at the podium with his son. #Family #FinishedTheJob http://t.co/66zjCj0rdT
562101170354012162***,***RT @Patriots: Happy Birthday, Rob Ninkovich! http://t.co/M9mhbJXpNV
562100999062847488***,***RT @PatriotsProShop: Get Your Super Bowl XLIX Champions Gear Now! http://t.co/tA8EDtiS5H #SB49Champs #PatriotsNation http://t.co/OTw7hiL2Gy
562099416538959872***,***RT @Patriots: More family time. #SB49 #FinishedTheJob #Champions http://t.co/v4rQIDUKxR
562099357101481984***,***RT @WhiteHouse: Congrats to the @Patriots on their 4th #SuperBowl title! #OnToTheWhiteHouse -bo
561787761917976577***,***RT @Kynashia_: Hola, tengan linda tarde sigan bajando AMENAZANDOME gracias por el apoyo http://t.co/QZnqnJjuRq http://t.co/xAuUBKUBUC
561787002589544448***,***@La_Mamichula @Kynashia_ saludos amigas bellas dios me las bendiga siempre ♥ me siguen jeje. Bendiciones aqui saludandola hermosa :*
561784330654343168***,***RT @HipHops_Son: @_RichardMachado hey what's up? I see you promote music. Can you tell me more about your package?
561784312086142976***,***@HipHops_Son Of Course speak for dm greetings friend.
561783858572853249***,***RT @EmilyPrymes: Everyone Go Follow!→🎆 @authormaggiep @_RichardMachado @Clive_SJohnson @GreatHealth_ @HollowManSeries @TruckStopTommy 🎆
561781619787571200***,***RT @jcoyuela: @Joletteoficial @_RichardMachado @el_sultan_ar @Cuick_Navarro La etica y la confianza.Etica y sociedad http://t.co/NXH7qdhZcB
561396810414317568***,***I Miss You :( :/But better'll be aloneThis is life :s :( http://t.co/2KNMwo64Pw
561394540641529856***,***Esta vida me ha quitado las personasQue mas quieroAunque ustedea no esten presenteSiempre los… http://t.co/0suk4edMOp
561391914889781249***,***RT @AceRicoWild: @_RichardMachado 🎬Go check out this DOPE ASS VISUAL🎥😷IM THAT NIGGA😷💢RETWEET PLEASE💢http://t.co/qLwSxykTcK
561390950925471744***,***Ya poquito para el tema romantico Trabajando en mi casaDandole los ultimos retoquesMi gente… http://t.co/IRT065JP3f
561038953797939200***,***Vamos camino pal #Studio a terminar un tema bien cabron dejare mi cel porque esta descargado y leo los… http://t.co/dL4DBSIrQr
560693579979689984***,***RT @Z_o_d_i_a_c_o: #LEO: a muchos les irrita que tengas ese carisma y ese orgullo tan arriba. Te quieren ver caer, pero sera dificil...Lo s…
560693351327211520***,***@donmiguelo pana deberias de tirar como yo le doy en version merengue asi como lo hicistes en extremo a extremo lo fans lo queremos plis bro
560505242539008000***,***#QueLindoSeria ver a mi abuela  y abeulosonreir con mis pendejadas :( te extrano abue #DomingaMachado #VicenteSabillon
559960257016131584***,***RT @RomeoSantosPage: El nuevo de @RomeoSantosPage ft @MarcAnthony  - #YoTambien http://t.co/aa9HFqDRqv
559959932188229632***,***@DONOMAR jefe como me gustaria un saludo suyo es muy dificil pero no me rendire estoy pendiente con los que hace en su musica su fans #1
559959596279005184***,***RT @XAVIELDESTROYER: Gracias por el apoyo y gracias por creer en mi! @DONOMAR ! Rec sigan escuchando #NadaCambiara https://t.co/oOqjb0Xfvg …
559959364795379712***,***Descarga: @XaviElDestroyer Ft. @Jowell1 Y @RandyNotaLoca - #ComoBaila http://t.co/GyQcQJwm38  via @iPautaorg @_RichardMachado
559958880621690880***,***RT @MIGUELITOMTO: SIEMPRE seras un idolo PUERTORRIQUENOY nunca seras olvidado PADRINOQue dios te tenga en su gloria #RIPTopyMamery 😓🙏 htt…
559956709079543808***,***@BensonZephyr hey bro follow me Please
559575241693741058***,***RT @Visionary_AP: @_RichardMachado ‘ShoutOut (prod. by Diz'P)’ by APThePoet on #SoundCloud? https://t.co/AU0dPZCFSR
559575236312457216***,***RT @Visionary_AP: @_RichardMachado ‘Ms. Redd(prod. NewDerseyBeats)’ by APThePoet on #SoundCloud? https://t.co/g9C6jv2dsa
559481097239941120***,***Today was an excellent play basketball with my brother hahaha day #Roger #Jesus #Day #Happy #Game http://t.co/16JytbKI0f
559478943108300800***,***#Day #Happy #Game #Basquetball #Brother's http://t.co/ZPHEnAF2Nv
559478601759064064***,***Hahaha he its crazy :P http://t.co/nwoww9sIcB
559478324746268673***,***#Bro #Bff #Haha http://t.co/DwyF3VLO1I
559477760775979008***,***Dimelo #cabron http://t.co/tGG2TBoBYR
559419411183206401***,***RT @MCFREEprodigy: @_RichardMachado  yo thanks for following. If you want to hear some #MadFlow check out my latest track: https://t.co/1iG…
559419406565261313***,***RT @InfamousIc3y: appreciate the follow!✊  💯@_RichardMachado via http://t.co/LDNMrOgiot
559419393172856832***,***RT @vitavocal: @_RichardMachado check out this HOT new item on amazon https://t.co/FtSe2cIGru
559419365893103616***,***RT @SportsBettorsTV: @_RustyMaster @_Simjam @_sperry_ @_sportsmem @_RichardMachadoCHECK OUT SPORTS BETTORS TV ROCKING THE AIRWAVES:http…
559418286145015808***,***My Little Sister I Love You #IsabellaMachado♥ http://t.co/LZePLlhkEu
559385062429708288***,***RT @FarrukoPR: Ya salio este temazo RMX lejos de aqui junto a yandel http://t.co/niZAW9Jnp3
559378781513994240***,***Feliz dia de la mujer ♥Principalmente a mi madre y a mis hermanas y tambien ♥ A toda las preciosuras… http://t.co/rYkcRuPhtJ
559211867756052480***,***Muchos decimos que es un error enamorarse equivocadamente y no es asi el error lo comete uno. Feliz… http://t.co/uy7Utfvej6
559048247423938562***,***Hasta mi #Hermana es adicta a su #Telefono jajaja. #China #Prima #Hermana #Game #Plus #Day http://t.co/NZqrXKxI2T
559029487929917443***,***RT @MystroAi: @udgsounds @MagnetoDayo @FRbangasfour00 @_PharaohVibes @SaintNic313 @_RichardMachado http://t.co/P6ZzAhLGQr
559027857071284225***,***RT @ReggaetonDT: Lamentamos la muerte de nuestro hermano @ELCANSERBERO q dios lo tenga en su gloria! Q descanse en paz! EL RAP DE LUTO http…
559022704536584193***,***RT @Wal_Farley: @_RichardMachado #ESCUCHA 》 A Fuego - @WalYDiony ( @Wal_Farley &amp; @DioniMerodeante ) 》 http://t.co/H5E0UmTSag 《▶ Ayudanos …
558869322236710912***,***RT @yungbless1986: @_RichardMachado Thanks for following Please #retweet follow @_THE_DOGFATHER_  @yungbless1986 #mgwv Listen to Whippinht…
558849140793565184***,***Pues hoy me toca desveloHasta tener ese proyecto musical Terminando para mi genteSaludos http://t.co/sVPHNe9jd8
558492212447936512***,***RT @MalcolmWiggins: @_RichardMachado Please Take A Second 2 Watch My Music Video "CAROLINA C.A.S.S.-Band Up Feat Rlo Skeet"  https://t.co/y…
558387724873650178***,***RT @Nan2elmaestro: Download Kendo Kaponi - La 40 (Remix) (Prod. Nan2 el Maestro de las Melodias)http://t.co/iyyAr1E5P9 http://t.co/WII5EQ…
558387597077401600***,***RT @Nan2elmaestro: Muchas gracias #Repost @_richardmachado with repostapp.⁰・・・⁰De mi parte bro @nan2elmaestro http://t.co/DynO2J3Mfw
558362757628960768***,***Just posted a video http://t.co/8fikMN2AKw
558336784527278080***,***Mi viejo :( hoy 22 de enero te me fuiste :( ya son 14 anos de no poder verte y estar a tu lado como en… http://t.co/ApCsMzuo6i
558329218179035136***,***Gracias por el recuerdo que me dejastes hermano y gracias por venir a #SantaBarbara #Bendiciones #Bro @DannyBerrios http://t.co/62znf6WkrV
558328391783694336***,***Gracias por el recuerdo que me dejastes mi hermano #DanniBerrios y gracias por venir a mi bella tierra… http://t.co/T02qUFvvPF
558323628245544960***,***De mi parte bro @nan2elmaestro http://t.co/RFTKbdTFx8
558318823208914947***,***RT @LAMULATABX1: @_RichardMachado @GOCHOMUSIC https://t.co/kI6y3b10OP
558318704493342720***,***RT @DannyBerrios: Empieza tu dia dando gracias a Dios por lo que te dio, lo que te da, y lo que esta por darte.
558118936651530241***,***RT @AlpexSiempre: @_RichardMachado Saludos, una cancion de Reflexion "Libertad" http://t.co/ogZQTPFDFt
558118924949409795***,***RT @NERDSFOLLOWBACK: @_RichardMachado https://t.co/wjYB8QVhke New single out, mind checking it out if you get a chance? :) #NERDS
557602606567403520***,***RT @SportsBettorsTV: @_lauralynn21 @_M_G_W_V_ @_Micahveli_ @_RichardMachadoCHECK OUT SPORTS BETTORS TV ROCKING THE AIRWAVES HERE: http:…
557324494340374531***,***RT @Raymond_Norman: @_RichardMachado TY! Pls rd abt #home@ http://t.co/7joDqClZxE&gt;#homeless #disabled #neuropathy #braininjury #hips #crowd…
557324453286522882***,***RT @onn_point: Listen to Promo (Love Sosa Remix) by Onn Point #np on #SoundCloudhttps://t.co/TN1iTFOtNl @Alicia_Stiles  @_RichardMachado  …
557302261404434435***,***RT @MoonLanderMusic: @_RichardMachado this song is so good https://t.co/70YUHPkbtk
557275955472138240***,***RT @cobino11: @_RichardMachado go check out my hottest new on video  #binorecords http://t.co/R1N1L9Pr8R
557054333683261440***,***RT @MAXIMUSWEL: Maximus Wel en Spotify http://t.co/6ePwp4wSFk
557054252603166724***,***RT @MAXIMUSWEL: Maximus Wel empieza el ano con mucha musica(Miami, FL) - El artista urbano, Maximus Wel, empezo el… http://t.co/eKpA0Vnr8d
557053910335385600***,***RT @GOCHOMUSIC: Jet Ski Gtx AS 260 RS 3 personas Ano 2012. ( 38 horas de uso) Lo doy esta semana en $13,000.00 omo !!! http://t.co/YZRkiee5…
557053669913673728***,***@GOCHOMUSIC mi hermano te deseo lo mejor en tu carrera ya sabe lo apoyamos espero que lea mi mjs. Saludos pana dios te bendiga siempre
557053516628656128***,***RT @Juanlmorera: Trabajando duro @gochomusic http://t.co/6KKYyqMMY3
557053134447841281***,***RT @duranthecoach: http://t.co/rrTvEneuaf sin hablar mucho 🎶🎶🎶 http://t.co/cPREgunrx2
557052783082610688***,***RT @maximanpr: Para los amantes d la calidad #Tirense disp en ITUNES #VolvieronLosRastrilleros http://t.co/r7i96DNYKa
557052753676365824***,***RT @maximanpr: Estan ready pa esto? Q ustds creen cuando lo sumbamos? Ya escucharon #YComoEs feat arca? http://t.co/eDnIC2EKSV
557037146092339201***,***RT @Montanerevaluna: Ayaayy!!! Ya salieronnnnn!!! Espero que les gusten!! Los quiero mucho!!! Que bendicion poder compartir esto con Uds!! …
557036721070948352***,***RT @MRmusica: A los nocturnos como nosotros! Ya pueden escuchar el nuevo sencillo de @Montanerevaluna !! Que emocion! http://t.co/u15xJ4HeBM
556903287040245761***,***RT @M2MEntMgmt: @_RichardMachado Thnx for the follow. Artists get your own #Vevo channel &amp; unlimited distro to over 10 digital sites http:/…
556831037977014272***,***RT @DawonInHD: @_RichardMachado @chasindreamz_14 Day To Day - Chasing the Dream pt.2: http://t.co/D5ZZvUnfjk
556831031777853441***,***RT @420SeanMack: @_RichardMachado Sean Mack 'Irrelevant' Ft. T. Banks &amp; D-Johnson http://t.co/9Yq2FK6S1y #SupportSnapEnt Plz Share
556831026392338433***,***RT @gods24hrprayer: @_RichardMachado Ty4 follow. I pray God's presence will consume u &amp; cause ur gifts&amp;talent 2 catapult u n2 unhindered bl…
556320542853439488***,***Muchachita bonita, duena de mi corazon que lo que tu necesitas para yo darte mi amor♥ http://t.co/2oWe9LPcDe
556231908787752963***,***RT @jc_country: @_RichardMachado @BryAustin21 @OfficialtaongaM Please join Jeff Crew @ http://t.co/64JVtXVsC9 please #play #like #repost &amp; …
556144408593444865***,***El pendejo de erick jaja http://t.co/Jsv1BQUN8T
556112843637268482***,***Buenos dias mi gente bellaEspero que la pasen bien este viernesDios me los bendiga siempreLas… http://t.co/586lHbIWLD
555973588478869505***,***RT @JAlvarezFlow: http://t.co/eF706IfVik el duelo
555973433914589186***,***RT @JAlvarezFlow: De Camino Pa' la Cima (Reloaded 2.0) por J Alvarez https://t.co/4fcXrflyZj
555973067328225283***,***RT @Z_o_d_i_a_c_o: #LEO: si te enamoras, pides mucho pero tambien das el doble. Eres leal y muy celoso. Protector de lo que quieres. Mucho.
555954476771971072***,***Farruko - Lejos de aqui (preview) (video oficial)Cuantos fans esperan este video se vienen duro… http://t.co/gRb9COX9pD
555942076811341828***,***RT @bdubdrum: .★ Thanks @_RichardMachado for following @bdubdrum✩ Please check out our music and videos ►http://t.co/7gVAkFJOy5#tha…
555892060134178816***,***#Serious :) http://t.co/rOHQp9PJFB
555606550510059520***,***RT @ipautaorg: #EsteSabado #Bouleevian (@LosGualaGuala) Ft. @TonyInfantas - #YoTeComoABesos via @ipautaorg @Juniorcit0 http://t.co/Ha6LUrPq…
555606535758696448***,***RT @ipautaorg: #EsteSabado @rkmoficial - #FueraDeControl (Prod. by @impulse_dj) via @ipautaorg http://t.co/LvvDJ55brl
555606488673435649***,***#24DeEnero @JaycobDuque_ Ft. @FarrukoPR - #MeDespidoRMX #via @ipautaorg @_RichardMachado  http://t.co/ZAUic87COZ
555606136582602753***,***RT @daddy_yankee: Descarga @pushocpw #YoSeQueMolesta http://t.co/wu3ngfLbfmhttps://t.co/QjOE5ROldMhttp://t.co/5SynRPBUT6 http://t.co/xb…
555606118039556096***,***RT @daddy_yankee: Respect a @_alexdesign por esta excelente interpretacion de lo que podria ser la caratula de King Daddy II #DYARMY http:/…
555605888703418369***,***Descarga @ThisisPinto #BamBam ProdBy @NeoNazza via @daddy_yankee @ipautaorg @_RichardMachado | http://t.co/gfcBeccCSN http://t.co/xL4Wlh0PKJ
555605698433024001***,***RT @daddy_yankee: Descarga lo nuevo de @ThisisPinto "BAM BAM" Hit! Hit! Hit! http://t.co/F9K5hWbqZshttp://t.co/2NWd42plPE http://t.co/Jw…
555604152379006977***,***RT @llandel_malave: RT @chilevision: #Vina2015 Mira los artistas que se presentaran el domingo 22 ...  http://t.co/8CI4YmxeQ6 http://t.co/k…
555587101610090496***,***:D la vida te quita a las personas que mas quiere pero siempre estaran en tu corazon ♥bendiciones mi… http://t.co/IVBtyzQplt
555469152090337280***,***Te quiero mucho Biebi💕Aqui; StacyGiron☺😊
555456057175449601***,***RT @LipstickFables: @_RichardMachado gracias Richard! A ver si hago algo esta semana
555455858231242753***,***RT @Loko_Los: @_RichardMachado Listen to some of the dopest loops you ever heard http://t.co/V7bi0BlQcV #hiphop #music #beats #dnb #trill #…
555397856547590145***,***@LipstickFables hey Ana cuando sacaras otro video que dure ♥ estoy pendiente los fans queremos mas de ti saludos alera♥♥
555395267886063617***,***RT @KatDahlia: It's a Celebracion bishes! Join me on 1/16 at 1pm ET for a LIVE #MyGardenChat on @Google+ hangout. #MyGardenOutNow http://t.…
555219789673947137***,***¿Cuantos estan esperando lo nuevo de @_Musicologo &amp; @MenesNazza ? #Orion #ComingSoon #Cover #Via @_RichardMachado: http://t.co/29R8pcILKu"
555219527597064192***,***RT @luigi21plus: #Orion 🔊🔊🔊🔊🎶🎵🎶🎵 @_musicologo @musicmontana noahassad http://t.co/nCVJYG5gDQ
555175016703459329***,***RT @DonPromega: on #followback list ⏩▶ @enkday @Adventure_Maria @_RichardMachado @MyFamous2012 @GvldenBlvnts_ @Trvpvon
555174972189310976***,***RT @KatDahlia: Tune in NOW to catch my @Vevo takeover! Watch here -&gt; http://t.co/73Vip8oIbD http://t.co/Q77l4pMUNq
555174947333881856***,***RT @KatDahlia: TOMORROW! http://t.co/QZVGFUwM2q #MyGardenJan13 http://t.co/Qp7Dz29HSk
555166922145554433***,***RT @Hunnnybunnny1: S/o to my new follower @_RichardMachado
555140239262355456***,***RT @BeatsByNate: @_RichardMachado New #Beat! "Blowin Kush" #Soundcloud http://t.co/eQhqmeIGjf
555072656043941888***,***#PartidoDeFutbolMesa con los Aleros http://t.co/6SsO0toByW
555044991484325889***,***RT @udgsounds: UDG Sounds Radio promo trailer https://t.co/HbMDnJFEph @MagnetoDayo @MystroAi @FRbangasfour00 @_PharaohVibes @SaintNic313 @_…
555044974711300096***,***RT @RJDaChef: Preciate If U Could Like Or Share This? #AceChan #GreenMoneyMafia http://t.co/1McNXxIjHA @_RichardMachado
554751486769782785***,***#Desvelado http://t.co/mVmaYwEmVk
554156621774221312***,***RT @losnobmusic: En 2 Dias el debut oficial de nuestro video #salgoacazar http://t.co/Y6yK8ilDG0
554132791202689025***,***Just posted a photo http://t.co/MjB7c2ko17
553951788945379328***,***RT @COBRAMUSICSTAR: LLAMA Y SOLICITA YA LA ROLA "te gusto" EN RADIO SANTA BARBARA #Honduras @sb_stereo @Sn_little @DukattyMusic #onetime ht…
553951758545068034***,***RT @COBRAMUSICSTAR: DESCARA: "PARTY DE PLAYA" REMIX JUNTO A @Yerbaklan "HISTORIAS DE AMOR" MIXTAPE COMING SOON @FCCobraHN @DukattyMusic htt…
