670843527815954432***,***No tengo sueno wnn
656994207056424960***,***Yo no entiendo porque tengo guias de otras personas jJsjsjdjd
656988543580000256***,***Seguire estudiando 😔
656988468741017600***,***Yo no dejare a amar esa foto de la fernanda😍
656986669011324928***,***Como adoro a mis perras😍❤
656980367459688448***,***RT @QueOndaGat0: Quiero apretar un boton y que sea verano💦🏊🌊☀😎🌴🌈🌅🏄
656936109130280960***,***RT @holavillablanca: en vez de andar tirando pinta con un iPhone 6s, podrias arreglarte la cara, una sugerencia no ma.
656931756583571456***,***Tengo hambreeeeeeeeeee
656931122773905408***,***Tengo que estudiar fisicaaaa una paja
656927310688428032***,***RT @FIL0S0FIA: Dale tiempo al tiempo, todo llega en su momento.
656927232724770816***,***RT @NaachZunino: cuando te acostas a dormir la siesta y te levantas a la noche https://t.co/yyaBIHtn0J
656920878433869824***,***JAJAJAJAJJSJS
656920380788092928***,***Se pasaron pal pico con algunas si
656920260117975040***,***@franisidoraaa JAJAJSSJSJJSKSKSNDNSJ
656920116316258304***,***Weno sera po ajskdkdk
656920030945374213***,***@franisidoraaa JAJSJSJSJS LA WEA SKSKJDKDJD
656919934388322305***,***RT @Javivaldebenitu: porque nadie a ti te besa como yo 😚
656919787839295488***,***RT @fer15_rodriguez: No se yo pero me cague de la risa con la lista negra HSBSNSJSJSJSJDJS
656919253979893761***,***JAKSKSJSJSJS ctm
656775299565297664***,***RT @tauro_hn: #Tauro se sentira atraido por personadas pasionales que compartan la capacidad de disfrutar y tomarse todo con tranquilidad
656659477442252800***,***😴😴
656659318817857536***,***RT @tuqueridasocia: Me: 👸You: 💩
656646352772964352***,***Que soy pesa wn ajajsjjs
656638782628872192***,***RT @paulinaott: Ano culiao malo, la cago.
656638726748184576***,***Que dolor wnnn😰😢
656638166640762880***,***RT @HoroscopoViral: #TAURO: puedes ser un loco de vez en cuando pero en el fondo quieres seguridad con alguien que te la de y sobretodo que…
656637893180588032***,***😔😔😔😔
656637667065667584***,***RT @maruchnaya: JAJAJAAJAJAJAJAJAJ https://t.co/FBbx01gzeZ
656637613240131585***,***RT @elgordotony19: Cuando estas escuchando tu cancion favorita y te comienzan a hablar.. https://t.co/Pz3Ul7YSRE
656626678572195841***,***RT @_opazoo_: dormir es la solucion a todo 😍
656553632012345344***,***Menos mal no hicimos la prueb😌
656514450611175424***,***@_cbjvlc__ bueno nana💋
656475981541175296***,***RT @horoscoponegro: #TAURO: demasiado obcecado con lo que tienes en mente. Tauro no se rinde. Cuanto mas dificil sea el reto, mejor. Y lo s…
656474870516162560***,***Todo porque no lei el libro😒
656474845115457536***,***Esto me pasa por inresponsable
656469915038273542***,***@_cbjvlc__  bueno nanita uno de estos dias ire❤💋
656441328960716800***,***RT @aylinmonrroyg: Chupenla to2 tg sueno 😒
656441289005756416***,***Siempre tengo sueno y hambre
656441195908964352***,***@_cbjvlc__  jsksksj nanita te extranooo😔💘
656427441519464448***,***Ohhh estoy super caga de sueno😴
656427027411685376***,***RT @YolandaSultanaH: TAURO: Calme un poco sus impulsos para evitar enfrentamientos. Debe cuidar mas su piel. Debe minimizar cualquier riesg…
656286338732396545***,***Con la fernanda hablamos por wsp y esta al lado mio😂
656284960064720896***,***RT @eileen_atorres: No se pero la miss Noemi no me da tanto miedo como antes sjsjjsjs
656279629062344704***,***Que pajitaa
656277947880505344***,***Tengo ganas de patinar en el skate💘😍
656276861195014144***,***Me saque la chucha gracias al victor😒
656174529581031424***,***RT @PedritoEngel: #TAURO Ahorre un poco, ha estado muy abierto ultimamente. Guarde pa la vejez ☝🏻💙
656174426157928448***,***Buuu bateria culia se va muy rapido 😡
656173477574123520***,***Tengo sueno ojala llegar a la casa de la fer y dooomir😴
656173054582722560***,***RT @sleepw4lking_: UH, MANDEN COMIDA 🐷💜
656172606383607813***,***Tengo hambre🍣🍕🍔
656171150427463680***,***Estoy aburridaaaaa
655950209277632512***,***RT @SofiaVegaContre: Le pedire a Diosito por la china 😘💘
655943678498836481***,***Quiero ir al cineeeee🎬
655943487473348608***,***Cuando era chica siempre tenia moretones pq me sacaba la chucha jugando jsksjd
655943190936207361***,***@SofiaVegaContre te amo mucho😍❤
655942061108109313***,***Tengo miles de cosas que hacer esta semana😒
655941934494687234***,***RT @sebatierra: Tengo cero ganas de estudiarle
655941452846014464***,***RT @YolandaSultanaH: TAURO: Los pasos que dara deben ser con sumo cuidado. Aproveche la vitalidad que tiene y realice actividades sanas. Ma…
655912706365591552***,***RT @coteleonp: Que me encanta ver feliz a la gente que quiero 💖❤💙💚💗💘💜💝💓
655906671043158016***,***RT @fer15_rodriguez: Ojala dios me escuche wn:(
655906556110876672***,***RT @Leivoon: Quiero que sea viernesss
655905583829262336***,***Ojala cambie todoo
655905506444353537***,***AMEN
655905476908089344***,***Me dura poco lo seria JAJAJ
655787399876902912***,***RT @_JavieraV: desde que este wn termino, le habla a puras pendejas KSJDBDBJWBDKDBJD
655787342242955264***,***RT @damnbxtch_: El mundo no gira alrededor de ti
655787178409218048***,***Por wna tengo que dar el test sola 💩
655646591811002368***,***RT @eileen_atorres: Gente culia tiene que poner algo en las redes sociales para siempre llamar la atencion
655521323557474304***,***RT @eileen_atorres: Si me ganara el kino, dejaria como un millon para pura ropa💅🏻
655217372417105921***,***RT @Nacho_Ortegaaa: aveces lo que necesitas no es estar feliz, contento, motivado, sino que necesitas paz y tranquilidad, y no en tu cuerpo…
655182524591812609***,***RT @mcrna_: Tengo 🐮cho sueno.
655180556758601728***,***Desagradable 😂
655180383349252096***,***Primera vez en mi vida  quiero que sea lunes que nerviooos
655179525106606080***,***RT @ivana_cid: odio la bipolaridad mierda sepanlo
655179074940354561***,***Ohhh😂
655137299018194944***,***Buuu mama contestameee
655136852714901504***,***RT @franisidoraaa: Darte un pito de desayuno, pa irnos volando hasta neptuno😳🚀
655042473073496064***,***RT @PedritoEngel: #Tauro ud es fuerte y posesiva, deje un poco de ambas cosas y lograra mas satisfaccion a la coneja 💙
654848876768284673***,***😧😧😧😧😧
654848399624286208***,***Ni parece hombre
654847942185086977***,***RT @holavillablanca: ojala se pueda silenciar a las personas en la vida real, asi como lo silencio en whatsapp.
654847431667003392***,***RT @_JavieraV: amo tanto a la caro, y mas las weas que habla NSBJDBDJDNDNJSJSNDBD
654832418344574976***,***Maravilloso
654832375201927168***,***RT @eileen_atorres: Quiero sushi por montones 😢💘🍱🍣
654830862618488832***,***Bta que rico😍💘
654828662819307520***,***Me encantan las lentejas 😍
654825277898555392***,***Dormi todo el dia rayos
654825174689181697***,***RT @jjavipg: Necesito una carcaza oh
654825126362484736***,***RT @_belencilla__: Dar importancia a quien se lo merece
654824399317499904***,***@sleepw4lking_  siii JAJAJAJA💁💖 maravilloso ♉
654696514636255232***,***Por ti yo vivo adicto, algo natural Solo tuuuuuuuuu🎧
654694916816179201***,***RT @horoscoponegro: #TAURO: si estas comiendo, durmiendo, o centrado en algo, solo pides una cosa, que NO te molesten.
654694535289638912***,***RT @horoscoponegro: #TAURO: puedes ser un poco perezoso, y lo sabes, pero una vez que te pones a hacer algo, te pones pero bien. No te para…
654694480709160960***,***🙆🙆
654474961604726784***,***RT @_belencilla__: Ahora que habra una selecta aqui,me la pasare comprando helados de banana y chocolate 😍
654452196596170752***,***La fernanda se saco una foto super chistosa y todavia me rio de ella hajsjs
654450963999293440***,***RT @PauliAvila_: Saben, estoy reflexionan2 y ya no le tendre mala, seremos amigas JAJAJAJAJ BROMA MARACA CULIA 😘
654450636629671937***,***Tengo hambreeeeeeee
654450493742292992***,***👍😂
654421137527541760***,***Nos parecemos pocooi
654419921875693569***,***RT @AlanCuervoOK: #AltasGanasDe-Vacaciones 📅-Aprobar todas las materias 📝-Verano ☀-Playa 🏊🌴🌊-Helado 🍨🍧-Trasnochar 😌-Joda 😎🎉🎉-Findes…
654416811795050496***,***Hare tuto solo un rato si👆
654292435451949056***,***28 llega luegoooo!!!😍
654291595123126273***,***Callate un rato PORFAAAA😘
654291515821395968***,***Quiero mi camitaaaaaaaaaaa 🙏🏻😐
654291314935267328***,***RT @Jo_Monsalve143: No quiero clases,no quiero pruebas, no quiere nada😢😢
654291259192950784***,***RT @lnoriega30: -Odio el lunes-No me gusta el martes-Ignoro el miercoles -Me gusta el jueves-Amo el viernes-Disfruto el sabado -Me da…
654291193036193793***,***Estoy buscando el lugar perfecto para hacer la prueba 👀
654291091898900481***,***Me quiero iiiiiiiirrrrr
654274653922398208***,***Que laata tuuuuu
654257001363566592***,***RT @EsFilosofia_: Querer decir tanto y saber que es mejor no decir nada.
654253204448919556***,***RT @paulinaott: Estos dias estan hechos para quedarse acostada, no para levantarse e ir a clases.
654143015548755968***,***RT @crvillega: Tengo mas sueno que chofer de Turbus
654142917125275649***,***😴😴😴😴😴😴😴😴👈🇨🇱
654142850108653568***,***RT @leocaprile: Chamanes 2  Yolanda Sultana 4
654140310050709504***,***RT @cokep: Los peruanos en este momento http://t.co/V7czM8iRh1
654139317124775936***,***RT @danialmond: Manana me voy a sacar un rojo en honor a la roja, yo me tomo las hueas bien en serio.
654136915827027972***,***RT @EnciclopediaCL: NI CON EL ARBITRO NOS GANAN FEOS CULIAOS
654136636784177152***,***Vargas como te amo 😍❤
654136566345035777***,***BIEN MRDDDD
654132356639510528***,***❤🇨🇱❤
654130947961585664***,***Me dio sueno pero tengo que ver el partido
654130676162281473***,***RT @PsymonRos: Con el Campeon de America no peruanos culiaos
654129764618366977***,***GOOOOOOOOOOOOOLLL🇨🇱🇨🇱💋💘
654128975820759040***,***VAMOOOOS MRDDDD
654125228373753856***,***RT @Jo_Monsalve143: Ay, esto esta bue-ni-si-mo 💁💅👌🇨🇱🇨🇱
654124514217955328***,***Peruanos qls
654123907432226817***,***Vargas mi amor😍❤
654122450649747456***,***QUE RABIAAAA
654121845151649793***,***Bta los ctm
654121780437774336***,***RT @wokitoki: Gol de Peru :( http://t.co/3weU7knUDG
654120498754920448***,***GOOOOOOOL CTM
654109901011202048***,***RT @SebastianRm56: Uno con ganas de madurar y salen con esto JAJAJAJAJAJJAJAJA http://t.co/wPBtLqwb9v
654103828292370432***,***AMEEEE eso😻
654103559022190593***,***Porfaaaaaaa😢
654103489451290628***,***Btaaaa que no llueva mnn
654103354902192128***,***Ohhh me puso feliz lo que me dijo la sofi 😍💘
654102153582235649***,***RT @heydollparts: Perdonar no es sinonimo que olvidar.
654101948182999041***,***Que ha sido de tu vida? Nada 5 hijos casada JAJAJAJ la extranaba
654101432904380416***,***Y encontramos la cancion phhh
654101219359748096***,***RT @nataliarosaints: -amiga ya para de tomar estai muy cura- http://t.co/7jLbY8MSge
654100220729524224***,***RT @JunayLuis: Yo, cuando me levanto todas las mananas. http://t.co/HPAL5Cfgd3
654100073949827072***,***Y la eileen nunca me llevo el esmalte 😒
654099342643593216***,***Uuuh no mg que peleen 😶
654099184522522624***,***Ojala todo salga bien
654098992037556224***,***RT @iSin0: Si nunca lo intentas, nunca lo sabras.
654098921946513408***,***RT @___feeeeeer: todo en la vida se devuelve 🔃
654098662897922048***,***Me alegra mis dias 😍💘
654097628452519936***,***RT @AlgunaForra: "Ordena tu cuarto, pone la mesa, limpia, anda al colegio, volve temprano, llamame, nadie me ayuda en esta casa" http://t.c…
654095573545562112***,***RT @SofiaVegaContre: quiero ir al cine 👓
654084949860032512***,***Me molesta mas que la chucha que haga eso wn
654078548962091008***,***Sali a comprar y me moje toda 😶
654059500220121089***,***Oohhhh vdd que tenia que ir a lagunillas BUUUUU se me olvido
654058295381131265***,***RT @FlLOSOFIAS: Vale la pena esperar, por lo que vale la pena tener.
654054830340763649***,***Estoy felizzzz👸🏼❤💋
654054749214539777***,***La joce ma hara mis cocadas favoritas la mejol
653995087186292736***,***RT @SofiaVegaContre: Pendeja qla la odio con ganas
653802483530207232***,***Estoy pegada viendo la pelicula😂
653802347479597057***,***@vitoko_carrasco muchaaaa energia y animo para ti💅🏼💖
653799933351460864***,***No tengo sueno😶
653770566755876865***,***RT @ivana_cid: Muchas veces se necesita pasar por lo peor , para conseguir lo mejor 🙆🏻
653770542298869760***,***Buuuuuta la sofi me deja en la duda me paso miles de rollos
653608673688854532***,***RT @tauro_hn: Debido a su alta fidelidad y a su capacidad para dar afecto, los #Tauro pueden ser posesivos y celosos en las relaciones.
653597550050734080***,***RT @franisidoraaa: puro que te cagan
653597519532965888***,***RT @HoroscopoViral: #TAURO: tu memoria es excelente (para lo que quieres) por eso mismo no olvidas, y gracias a no olvidar, no repites.
653572009750872065***,***Javiera despiertaaaaaaAaaa🙆🏼
653571735552434177***,***RT @maririverosb: Broma lo temprano que desperteeeee🙎
653341195226206208***,***Que felicidad encontre la cancion que buscaba😍
653340891130802176***,***Ojala salir con la sofi uno de estos dias para copuchar un rato 😍😍👯
653339559074394112***,***Mi papa me dijo ya ahora nos tomamos unas micheladas con ganas Jajajajjshs
653338983989182464***,***Hoy con mi nano trataremos de hacer el puzzle del barco lo adoro ✨
653338689519681536***,***Las amo xmillones
653338638193926145***,***No se como me se todas esas canciones
653338508405403649***,***El martes si o si salimos a trotar con la javi y la marti🙆
653338237126230017***,***Con mi papa AMAMOS esa cancion 😂
653331252649570305***,***Jajsjsjjsjs la amo mucho 😍
653330485964337153***,***JAKSJSJSJS javi qla
653330334638034944***,***Con el luis amamos la music electronic😍💘
653330254602346500***,***Saldre rodando de esta casa por dios
653329969213501440***,***Hemos comido como chanchas
653329332413317120***,***La javi esta buscando pura musica antigua 😂
653328821693886464***,***🍷💋
653328455820558336***,***Dile que bailando te conocicuentale
653328029163388928***,***JAJJJAJA yaaaa😂
653327327103963136***,***ja ja ja😂
653286671493033984***,***@fer15_rodriguez siii el rafaaa 😍👶🏼
653278276920676352***,***Quiero que nasca mi sobrino 😍💘
653259682086260737***,***Para mi todos los dias hay que 🎁niar🙆🏼
653258725134856192***,***A tomar micheladas 😻💅🏼
653258643014598656***,***Tengo ganas de ir a la playita ☀
653257853784981504***,***Hoy estare en famili👯😏
653257684393848833***,***Peleamos, nos arreglamos nos  mantenemos en esa pero nos amamos ayyyy vamooos
653217540643098624***,***RT @Nosoychistuit: Cuando enciendes el celular en la madrugada y tiene el brillo al maximo. http://t.co/f7sUp4GaaZ
653020683518246912***,***😻😻😻
653017441442889732***,***Nicagando
653014395845509120***,***Una 👶🏼
652919639723376640***,***Que hace calor wn☀❤
652893001539297280***,***RT @YeyitaGB: DILE QUE BAILADO TE CONOSI CUENTALE
652637379644293125***,***hoy fui super cargante con la fernanda JAJJ la amoo
652636538753417216***,***se me olvida contestar wsp jajhjshsj
652636369714610176***,***@_cbjvlc__ 💘💅🏼👯
652635882663583744***,***@_cbjvlc__  estamos conectadas
652635667558723588***,***Si tu no te enamoras podemos pasar un par de horaaaas
652635200980152320***,***what do you meannnnnnnnn?
652634973258817538***,***@_JavieraV maravilloso, dps te hablo y nos coordinamos nanita linda&lt;3
652634125581615104***,***RT @_cbjvlc__: a mi a veces me cuentan secretos, y se me olvidan FKZKFKXKDKDKDDKK porsiaca
652634043813621760***,***@_JavieraV hay que juntarnos :*
652633542581714944***,***@_JavieraV te extrano tanto weonnn :(
652632922038620160***,***Yo te prometo una luna desnuda que sea testigo de nuestra locura
652463561705431040***,***Yo+comida=❤✨
652442812231864320***,***RT @turrilove: solo quiero que llegue rapido la hora de dormir
652308206518185984***,***RT @LeyDeChicos: ¿Promesas? JAJAJAJAJA la gente de hoy en dia solo cumple anos.
652305663247417345***,***RT @contangas: Botota sacale la chucha a la argentina culia
652293004737310720***,***Eso mrd GOOL❤🇨🇱
652288715788800000***,***VARGAS TE AMOOOOO😍😽
652288554962415618***,***GOOOOOOOL CTM😍🇨🇱💋
652288036902948865***,***Buuuuu
652287965553684481***,***VAMOOOOOS MRD🇨🇱
652287397342916608***,***Casi wn CASII
652285365794045952***,***RT @AniSensuali: http://t.co/cwi35XL9Xw
652285081202126849***,***RT @HocicoTarro: Brasil y los palos http://t.co/wLz1pp3WtC
652284657388666884***,***RT @Maquita_Donoso: Palos ctm!!!! #VamosChile 🇨🇱
652284586593005569***,***Van dos palos qls ya
652284433081495552***,***PALO DE MIRDAAAAAA
652269712802480128***,***RT @eileen_atorres: Fdw me molesta caleta que las demas personas se metan en mi vida 😶😬
652160034596491264***,***@baltimella vjajajsjsjsjjsksjs
652159210738708480***,***@baltimella nqvv😒😶 ajjajssjjs
652158546222579712***,***Que es linda mi momi me vino a retirar 😍💘
652158276499476482***,***@eileen_atorres JAJSJSJSJSJ ahhh💋😘
652158074510184448***,***@eileen_atorres  te estaba buscandoooooo 😒
652157892846485505***,***Me encanta esa gente que apana en todo💟
652086357104414720***,***Hace tanto frio 😪❄💨
652085782858059776***,***RT @gianinnajeje: no quiero ir a clases quiero dormir hasta tarde😔
652068743611314176***,***Amo a la Joce😍
652068276164554753***,***RT @coteverag: Hoy juega Chile y nada mas importa 🎉🇨🇱⚪🔴🔵
651945278606602241***,***RT @Nacho_Ortegaaa: Tirar la toalla es de perdedores y cobardes👌
651944368820121600***,***Yo amo el chocolate blanco 😍💖
651943183937597440***,***RT @weonafilo: si tanto me odiai, por que andai pendiente de todo lo que hago? http://t.co/ACenAIggFE
651939223658983424***,***RT @CeIosDeMujer: En los ojos estan todas las verdades que la boca no puede decir.
651939173801271297***,***😴😴
651938566222819333***,***Quiero hacer cosas diferentes
651938009529614336***,***💋💋💋💋
651936278515159041***,***RT @SebaPintosOk: 0 ganas de ir al colegio manana ❌✋
651935661738618880***,***Iuggg
651929796369383424***,***RT @___feeeeeer: Ohh wn me encantaria irme a conce
651927756062728192***,***@franisidoraaa JAJSJSJJS si😒😒
651927552999747586***,***Cuando era chica no se me veian los ojos🎎
651926977633501185***,***@ks4ndoval animo💖💖🎀
651926776852185090***,***Quizas pase a ver a la marti💘
651925298284511232***,***Scream queens👑❤
651924521482612736***,***👯💖
651923916596867072***,***Tengo tantas cosas que hacer este verano 🙆💟
651922535446126592***,***RT @sleepw4lking_: Quiero un mejor amigo, un perrito, por ejemplo 🐶💖
651922393791877120***,***Me quedo pega jugando a los minions
651922050735603712***,***Siempre me preguntan si con la Fran somos hermanas O.o
651921766445645825***,***RT @FlLOSOFIAS: Mis gustos, mis problemas, mis opiniones, mi vida.
651921736053714944***,***Ohhh la amo mucho por eso 😍💘
651920654871187456***,***Es un ☀
651920291979993088***,***Y tambien me bajo el hambre 😪
651920166876520449***,***Me bajo el amoooorsh
651919960109879296***,***RT @eileen_atorres: El "andate a la mrd"de una mujer tiene doble significado, es que la cagaste pero aun quiere que estes ahi o definitivam…
651919218087174145***,***Con la eileen siempre nos acordamos de los miercoles 👈👯👹
651918701936164864***,***Quiero sushi 😍
651918405289811968***,***Fuera de mi inicio👋🏻
651917798998978562***,***Lo que mg de cambiarme de house que el gym lo tengo muy cerca 😍
651917298056478720***,***Me encanto lo que me dijo mi mama🙆
651916618524696576***,***Me carga la rutinaaaaa🚫
651916388345487360***,***Que PAJA salir a las 5 weon
651915565347553282***,***Tengo hambre 😔
651911539566477313***,***@eileen_atorres 🙏🙏😍
651911420267888640***,***Primera vez soy tan cuidadosa con mi celu JAJJA deberia ser asi con todo
651911225639596032***,***@eileen_atorres   Y yo quiero el esmalte celeste 😘💘
651911004637556736***,***@eileen_atorres   Me sonrojas linda😳
651910680182919168***,***Estoy pegada con esa cancion 😒
651851222920601600***,***Que esta lindo el dia☀😍
651591349058338816***,***RT @vicabelu: ya no eres importante porque en mi chat de fb bajaste unas cuantas posiciones..hello
651589609437155329***,***0 animo
651587291253747712***,***RT @Moiraaaa: Las cosas cambian muy rapido
651580536390057984***,***Una paja
651580133707530240***,***Iug
651578209553784832***,***Fds apurateeeeee
651578099419758592***,***Me importas un copi😽
651576815065112576***,***@SofiaVegaContre ve wsp altiro🙋🏼💘
651576208380051456***,***@SofiaVegaContre a las 11 si o si
651576063378759680***,***Ehhhh ya😂
651575195229126657***,***Me tengo que banar
651575094788104194***,***Lo mjr http://t.co/OYZpq6tJ2z
651550080487567360***,***RT @SofiaVegaContre: Una senorita no recuerda el lugar de los sucedos mala tuya si te enamoraste con un besoooo😘💋
651548459707854848***,***@fer15_rodriguez exacto
651548211178569728***,***@fer15_rodriguez la Sofia me pego esa cancion la otra vez wn dikskdk
651547532879904769***,***@franisidoraaa JAJSKSKSJSJSJ  tonta
651547181913145344***,***tiene cara de santa pero lo disimula se le nota sexo en el auto sobre la capota
651536680042786820***,***RT @Jo_Monsalve143: Amo mi cama😍
651474812813115392***,***RT @tauro_hn: #TAURO PUEDE OFRECERTE: Una risas o momentos de relajacion cuando lo necesites.
651433435022684161***,***Quiero irmeeeeeeeee
651426841350262785***,***Que risa
651426684374282240***,***La Fernanda es mas cargante que la ctm que la callen
651414534805172224***,***RT @SofiaVegaContre: Quiero mi casaa y a mi mama 😭😭😭
651412052418891776***,***Powerfuuuuuul
651407385752375297***,***Estoy aburridaaaa
651402451048902656***,***Que me cae mal este wn😡
651394841520246784***,***Extrano cantar con la sofi  nuestras canciones estupidas😢
651392067902509056***,***Quiero retirarme
651378279568547840***,***Me siento mal
651377086670761984***,***Todavia me duele dnd me pincharon
651364684478738432***,***Ruuuuude🎶
651364617084633088***,***Penita en mi ❤
651359593092804608***,***Q.e.p.d pongito 😢
651359501250072576***,***Butaaaa ohhhh
651359451304361985***,***RT @_cbjvlc__: que ano mas como la 🍄
651355850167201792***,***Mi fiel amigo murio 😢
651246377176068096***,***Tengo risa de Bob esponja
651231129094221824***,***RT @horoscoponegro: #TAURO: no te gusta que te pongan en compromiso con nada. Muchas veces por eso, hasta que no estas al limite no decides…
651229492631969793***,***RT @WilkerFreire7: _ Como venis para el verano?_ http://t.co/UEKkszJdGw
651228027423166464***,***Quiero dormir hasta diciembre 😢
651216971401302016***,***Ya tengo tuto
651216584170598401***,***Quiero carino en el pelito💆
651216005948030976***,***JAJAJAJJA esa foto esta perfecta para ella wn
651215900058607616***,***@eileen_atorres  yo mas💘
651215863597498371***,***RT @eileen_atorres: JAJAJAJAJAJAJ amo a la china😂💕😂
651208788960149504***,***Ojala que no se me olvide
651208683175591937***,***Buchaaaa
651197596925497345***,***RT @maririverosb: Es todo o nada
651197404260139008***,***@_cbjvlc__  JAJSJSJ maldita
651197025845796864***,***@_cbjvlc__ no pq era del ihc
651196753207693312***,***RT @_cbjvlc__: quiero que termine el ano
651196713756037120***,***@_cbjvlc__ wna fui al dentista y habia una nina igual a ti 😯
651195712596668416***,***Voy a descargar musica
651193497324617728***,***@fer15_rodriguez solo porque me la sacaste tu😘
651193338494758912***,***@DaniielBulls exacto👌 jajajjsjs
651192828014391296***,***@DaniielBulls ya me pincharon no quiero volver a ver nunca mas la wea
651191301975638016***,***Al tonto se le pierde el celu😡
651166885954777088***,***@Camilapazq  lo mjr😍
651163210058350592***,***Creo que con la cami somos las mas felices😍
651162978679521280***,***Hice Sonar mi llavero de gato en el dentista y todos mirando como wnes
651093172802748416***,***Prefiero vivir mil anos sin ti, que una eternidad pasandolo asiiii
651080416301088769***,***Tengo tanto friooo❄
651080065426587648***,***Quiero que llegue el Luis 🎉
651076606803464192***,***No se que color colocarme
651075817901006848***,***Ya pero enfermo que come no muere😁
651075600531238916***,***@DaniielBulls solo en caso de vida o muerte  ajjajsj
651075135680684032***,***y tras varios tequilas las nubes se van pero el sol no regresa
651074761217413122***,***@DaniielBulls pero para mejorarse a morir nms 😷😷
651074201344983040***,***Ya arregle mi celu, me siento bacan
651074071497736196***,***@DaniielBulls siii😶😰
651073713555795968***,***Estoy mas nerviosa que la chucha
651073047072501761***,***Me pincharan 😿💉
651072862032429056***,***Mi mama ama a Arjona
651072746026344448***,***Me pondre el otro arito😍
651066709227520000***,***RT @frncssco: Quiero una carcasa nueva para el celular :(
651065837009412096***,***RT @Drogadosoy: Cuando mi amigo y yo pensamos lo mismo. http://t.co/YDCkRFLp4a
650901594955976705***,***Me siento como el ortoooo
650893866254618624***,***RT @LicDice_: Yo, intentando dormir temprano... http://t.co/umOTepA2w3
650880031183478784***,***Iphone 6 pu
650860141634551808***,***Mi mama me trajo un pan de aceituna O.o
650852904786612224***,***Me reta por mi pantalla
650842516233814017***,***RT @caroosast: El fds deberia durar mas 💁
650839796542238725***,***@SofiaVegaContre Te amooo💖
650817781185822720***,***Ame mis zapatos😻💅
650817387214843904***,***Quiero que llegue mi mama wn no sopprto el dolor
650765004367654916***,***RT @_JavieraV: dime como fue que me enamoraste, dime en que momento paso que empece a extranarte 😮
650760610515415041***,***Estoy para la caga de enferma wn
650515868754006016***,***Que risaaa
650503735035207680***,***Ojala nos salga😂 http://t.co/8nn7vQs5Zo
650465612662185988***,***RT @franisidoraaa: Cada vez me importa menos🙆
650465584291954688***,***RT @SofiaIgnaciaSM: 3 de Octubre, aun no empiezo a hacer ejercicio.
650465473893650432***,***😍😻😍😻 http://t.co/IMNlv2hWpc
650436808447291392***,***Con mi papa nos sabemos todas las canciones de los 80
650345627172388864***,***RT @holavillablanca: que lata esa gente que cree que una la odia, onda, yo no te odio, porque odiar es un sentimiento y yo por ti no siento…
650331537179865088***,***Estoy tan feliz porque cambiare mi celu😍
650296944359817216***,***Bucha me tengo que levantar 😕
650150025784389632***,***RT @DayenuBarra: soy un asco ahorrando plata wn :( no puedo
650149271765975040***,***RT @SofiaVegaContre: me carga cuando los hombres tratan de "wna" a una mina 😌😌😌😌
650147630111158272***,***Estoy cagaita de sueno
650147373797253120***,***Mg esas juntitas con los chiquillos😍
650134576023646208***,***RT @latidosdelrock: Yo se muy bien que nada es eterno.
650127107130028032***,***RT @caaarofuentes: Ese odio infinito cuando te gusta una cancion y no sabes como se llama
650126581839601664***,***RT @felipeveraandr1: Carrete sin amar azul no es carrete wn💪
650109077096394752***,***Ctm
650109025326116866***,***Callate rato ct
649776059064430592***,***RT @alison_cgm: lo bueno es que mnn es viernes😍
649775666729254912***,***RT @YolandaSultanaH: TAURO: Le recomiendo mantener una actitud serena y no confrontacional. No deje que las tensiones echen a perder sus ne…
649690098963980288***,***No quiero saber nada de esa prueba qla
649689996186750976***,***RT @maririverosb: Nadie dijo que seria facil, pero hagamos que valga la pena 👌💘
649541925914157056***,***Que pajitaaaa
649531504008282112***,***Tengo suenito😪
649393216622608384***,***Scream queens💅
649377446681292800***,***Fernanda qla callate
649376656361168897***,***Que la callen
649324975451676672***,***Que pajita estudiar😣
649324895407579136***,***RT @franisidoraaa: Hasta donde llegara el cinismo de algunas personasss jajaja
649047839956443137***,***Lo unico que quiero es cambiarme luego
649047328943439872***,***RT @LizzzzieA: Necesito una palabra de esas que te hagan sentir que todo estara bien
649046382989430785***,***Que es linda me apoya en todo😻😔
649044616650600449***,***0 animooo
649044508991225858***,***Tengo los ojos rojos wn😿
649010026401660928***,***Hoy tenia que ir al gym con el roca y me quede dormida wn pqpqpqpqpqpq
648999343622594560***,***Dormi mucho
648701838120849408***,***RT @_cbjvlc__: Sinceramente no se que chucha hacer con mi vida xd no quiero nada
648701734982938626***,***@LuarteDiego pasalo de maravilla😍
648701479033929728***,***Dormir
648701433039167488***,***Bucha no puedo
648685337317896192***,***Hablamos puras estupudeces Jsjsjs
648684656326479872***,***Tratare de dormir
648684494006976513***,***@fer15_rodriguez BUUUUUU
648684301496778753***,***@fer15_rodriguez nana encontraste la lima?
648684022424563717***,***Cuando este lindo el dia saldre a patinar
648683632358498304***,***@fer15_rodriguez mm si
648683059844370433***,***@fer15_rodriguez le quedan tan ricos wn
648682834731880448***,***@franisidoraaa si wn😍😍😍😍💖💖
648682744596316161***,***@fer15_rodriguez nuuuu
648682564362891264***,***RT @YolandaSultanaH: TAURO: Aprovecha bien esos encuentros que se presentaran el dia de hoy. Los planetas van a afectar de forma positiva t…
648682257465614336***,***Como no amarte wn 😍 http://t.co/ObVYOZ4oic
648680103694725120***,***@Camilapazq 😍yotmb💖
